#Annotated with Bakta v1.11.3, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_908	529463	530671	+	MDNEJI_02429	45.1	9.9	PF13356.12|Arm-DNA-bind_3, PF14659.12|Phage_int_SAM_3, PF22022.2|Phage_int_M	PFAM:PF13356.12, PFAM:PF14659.12, PFAM:PF22022.2
contig_908	531686	531988	-	MDNEJI_02430	11.2	9.6		
contig_908	536965	537201	-	MDNEJI_02433	8.2	6.1		
contig_908	537201	537470	-	MDNEJI_02434	9.7	6.6		
contig_908	537521	537763	+	MDNEJI_02435	8.4	10.1		
contig_908	543009	543299	-	MDNEJI_02442	10.6	6.4		SO:0001217, UniRef:UniRef50_A0A2R4BGA0
contig_908	543302	543607	-	MDNEJI_02443	11.5	10.1		SO:0001217, UniRef:UniRef50_A0A2R3ILZ2
contig_908	543604	543873	-	MDNEJI_02444	9.7	4.9		
contig_908	543870	544103	-	MDNEJI_02445	7.9	4.6		
contig_908	544096	544344	-	MDNEJI_02446	9.0	9.3		SO:0001217, UniRef:UniRef50_A0A1B8T7K9
contig_908	544956	545858	-	MDNEJI_02450	33.1	4.8		
contig_908	561594	561887	-	MDNEJI_02467	10.9	5.6		
contig_908	564771	565337	-	MDNEJI_02470	19.6	5.5		
contig_908	565785	566012	-	MDNEJI_02472	8.3	5.4		SO:0001217, UniRef:UniRef50_A0A0G4ZJR2
contig_908	566009	566209	-	MDNEJI_02473	6.8	10.0		
contig_908	566521	566736	-	MDNEJI_02476	8.1	10.7	PF12728.13|HTH_17	PFAM:PF12728.13
contig_908	596175	596582	+	MDNEJI_02502	12.3	10.8	PF13441.11|Gly-zipper_YMGG, PF13488.11|Gly-zipper_Omp	PFAM:PF13441.11, PFAM:PF13488.11
contig_917	15	320	+	MDNEJI_02515	11.3	4.7	PF00857.26|Isochorismatase	PFAM:PF00857.26
contig_919	123	536	-	MDNEJI_02516	14.7	7.7		
contig_919	39095	39250	+	MDNEJI_02551	5.7	11.6		
contig_919	57372	57542	-	MDNEJI_02571	6.7	11.3		
contig_919	65577	66323	+	MDNEJI_02578	28.6	6.0	PF08241.18|Methyltransf_11, PF08242.18|Methyltransf_12, PF13489.12|Methyltransf_23, PF13649.12|Methyltransf_25, PF13847.12|Methyltransf_31	PFAM:PF08241.18, PFAM:PF08242.18, PFAM:PF13489.12, PFAM:PF13649.12, PFAM:PF13847.12
contig_919	82946	83479	-	MDNEJI_02595	19.0	10.3		
contig_919	91324	91923	+	MDNEJI_02604	21.5	5.4	PF04893.22|Yip1	PFAM:PF04893.22
contig_919	106952	107119	+	MDNEJI_02617	6.0	5.9		
contig_919	107128	107619	+	MDNEJI_02618	17.0	7.4	PF00037.32|Fer4, PF12797.12|Fer4_2, PF12800.12|Fer4_4, PF12837.12|Fer4_6, PF12838.12|Fer4_7, PF13183.11|Fer4_8, PF13237.11|Fer4_10, PF13484.11|Fer4_16, PF13534.11|Fer4_17, PF14697.11|Fer4_21	PFAM:PF00037.32, PFAM:PF12797.12, PFAM:PF12800.12, PFAM:PF12837.12, PFAM:PF12838.12, PFAM:PF13183.11, PFAM:PF13237.11, PFAM:PF13484.11, PFAM:PF13534.11, PFAM:PF14697.11
contig_919	107612	107941	+	MDNEJI_02619	12.0	4.3	PF03927.19|NapD	PFAM:PF03927.19
contig_919	116133	116453	-	MDNEJI_02626	10.9	5.0		SO:0001217, UniRef:UniRef50_A0A0H2Z7S9
contig_920	37	213	+	MDNEJI_02641	6.2	5.6		
contig_922	148	471	+	MDNEJI_02642	12.2	7.7		
contig_930	6125	6487	+	MDNEJI_02648	13.7	9.6		SO:0001217, UniRef:UniRef50_A0AA96U2L1
contig_930	8811	9065	+	MDNEJI_02651	8.7	6.1		SO:0001217, UniRef:UniRef50_Q9I3V0
contig_930	18812	19039	-	MDNEJI_02661	8.4	4.8		SO:0001217, UniRef:UniRef50_A0A2R3IMH6
contig_930	31163	31297	+	MDNEJI_02671	5.2	11.6		
contig_930	38218	38637	-	MDNEJI_02677	16.2	5.1	PF12680.13|SnoaL_2, PF13474.12|SnoaL_3, PF14534.12|DUF4440	PFAM:PF12680.13, PFAM:PF13474.12, PFAM:PF14534.12
contig_930	42832	43167	-	MDNEJI_02682	13.0	9.5		SO:0001217, UniRef:UniRef50_A6V883
contig_930	91858	92193	-	MDNEJI_02729	11.9	4.7		
contig_930	101095	101511	+	MDNEJI_02740	14.9	10.0		SO:0001217, UniRef:UniRef50_UPI0021566D55
contig_935	260	490	-	MDNEJI_02769	8.6	12.0		
contig_936	61	402	+	MDNEJI_02770	11.5	4.3		
contig_940	49	519	+	MDNEJI_02771	17.0	5.2	PF00497.25|SBP_bac_3	PFAM:PF00497.25
contig_941	3892	5061	+	MDNEJI_02776	44.0	6.3		SO:0001217, UniRef:UniRef50_Q9I2K1
contig_941	11847	12134	+	MDNEJI_02784	10.2	4.1		
contig_941	18172	18570	-	MDNEJI_02790	14.7	9.9		
contig_941	38195	38620	-	MDNEJI_02803	15.6	4.6		
contig_941	42296	42505	-	MDNEJI_02807	7.3	10.7		SO:0001217, UniRef:UniRef50_A6V6U7
contig_941	56984	57205	+	MDNEJI_02820	7.9	5.3		SO:0001217, UniRef:UniRef50_Q9I2P0
contig_941	74907	75023	-	MDNEJI_02838	4.2	5.5		SO:0001217, UniRef:UniRef50_A0A024HK40
contig_941	102654	104483	+	MDNEJI_02866	70.1	9.7	PF00496.27|SBP_bac_5	PFAM:PF00496.27
contig_941	110969	112834	-	MDNEJI_02872	68.7	5.0	PF00639.27|Rotamase, PF13145.12|Rotamase_2, PF13616.12|Rotamase_3, PF13623.11|SurA_N_2, PF13624.11|SurA_N_3	PFAM:PF00639.27, PFAM:PF13145.12, PFAM:PF13616.12, PFAM:PF13623.11, PFAM:PF13624.11
contig_941	123592	123708	+	MDNEJI_02882	4.0	6.7		
contig_941	123733	123861	+	MDNEJI_02883	4.6	12.0		
contig_941	123882	124103	-	MDNEJI_02884	8.4	6.1		SO:0001217, UniRef:UniRef50_A6V725
contig_941	124620	124883	-	MDNEJI_02887	9.7	6.0		
contig_941	124919	125179	-	MDNEJI_02888	9.3	9.4		
contig_941	126215	126445	-	MDNEJI_02891	8.3	4.2		
contig_952	113	562	-	MDNEJI_02894	16.5	5.9		
contig_952	38983	39468	+	MDNEJI_02929	17.8	9.2		
contig_952	43568	43774	-	MDNEJI_02934	7.8	4.3		SO:0001217, UniRef:UniRef50_A0A024HNI6
contig_952	63763	64152	+	MDNEJI_02951	14.6	10.5		
contig_952	82847	83353	+	MDNEJI_02969	17.5	6.4		
contig_952	87102	87476	+	MDNEJI_02973	13.6	4.8		SO:0001217, UniRef:UniRef50_A0A853A832
contig_952	100678	100833	-	MDNEJI_02981	5.1	7.8		SO:0001217, UniRef:UniRef50_A0A3M5DE63
contig_954	164	457	+	MDNEJI_03000	10.5	10.4		
contig_963	32878	33102	+	MDNEJI_03034	8.1	11.5		
contig_963	43021	43428	-	MDNEJI_03044	14.9	6.4	PF12680.13|SnoaL_2, PF13474.12|SnoaL_3, PF14534.12|DUF4440	PFAM:PF12680.13, PFAM:PF13474.12, PFAM:PF14534.12
contig_963	78894	79373	+	MDNEJI_03081	17.7	6.8		SO:0001217, UniRef:UniRef50_A0A3M5DL06
contig_963	81527	81634	-	MDNEJI_03084	3.7	8.0		
contig_967	25	465	+	MDNEJI_03102	17.4	9.7		
contig_968	35	472	+	MDNEJI_03103	16.3	6.3	PF02782.22|FGGY_C	PFAM:PF02782.22
contig_973	136	474	+	MDNEJI_03104	12.4	4.9	PF01568.27|Molydop_binding	PFAM:PF01568.27
contig_974	33655	34476	+	MDNEJI_03133	30.6	5.9		SO:0001217, UniRef:UniRef50_A0AAD1B843
contig_974	38782	39279	-	MDNEJI_03138	17.4	4.3	PF03695.18|UPF0149	PFAM:PF03695.18
contig_974	40929	41060	-	MDNEJI_03143	4.9	9.7		
contig_974	50052	51020	-	MDNEJI_03151	35.4	5.6	PF00111.32|Fer2, PF00175.26|NAD_binding_1	PFAM:PF00111.32, PFAM:PF00175.26
contig_974	70801	71847	-	MDNEJI_03169	34.1	10.6		
contig_975	52	429	+	MDNEJI_03183	13.4	5.4	PF00842.27|Ala_racemase_C	PFAM:PF00842.27
contig_976	33	278	+	MDNEJI_03184	9.2	5.8	PF17769.7|PurK_C	PFAM:PF17769.7
contig_981	86	460	+	MDNEJI_03185	14.2	9.1		
contig_983	165	326	+	MDNEJI_03186	6.1	9.7		
contig_984	86	214	-	MDNEJI_03187	5.0	6.7		
contig_985	7534	8196	-	MDNEJI_03193	24.2	7.0		
contig_985	8193	8864	-	MDNEJI_03194	23.6	9.4		
contig_985	10951	11895	+	MDNEJI_03197	35.3	6.7	PF00165.29|HTH_AraC, PF12833.13|HTH_18	PFAM:PF00165.29, PFAM:PF12833.13
contig_985	45748	46800	-	MDNEJI_03230	38.3	5.4	PF02779.29|Transket_pyr, PF02780.25|Transketolase_C	PFAM:PF02779.29, PFAM:PF02780.25
contig_985	48071	48199	-	MDNEJI_03232	4.7	10.6		
contig_985	80696	81400	-	MDNEJI_03256	26.2	9.5		
contig_988	197	337	+	MDNEJI_03257	5.0	6.5		
contig_990	321	482	-	MDNEJI_03258	5.7	10.0		
contig_993	53	322	+	MDNEJI_03259	9.3	4.5		
contig_996	33	578	+	MDNEJI_03260	19.4	7.1		
contig_996	64873	65250	+	MDNEJI_03323	14.4	6.7		
contig_997	41	280	+	MDNEJI_03333	8.8	5.1		
contig_1000	57	485	+	MDNEJI_03335	15.9	6.0		
contig_1001	66	284	-	MDNEJI_03336	8.0	6.2		
contig_1007	14130	14402	+	MDNEJI_03351	10.0	7.0		SO:0001217, UniRef:UniRef50_Q9I7B2
contig_1007	15615	16502	-	MDNEJI_03354	33.0	9.4		
contig_1007	35283	35507	+	MDNEJI_03369	8.3	5.3		SO:0001217, UniRef:UniRef50_UPI0018DF3099
contig_1007	53225	53806	+	MDNEJI_03388	21.6	9.3		
contig_1018	3413	4198	+	MDNEJI_03393	28.9	4.6	PF06977.17|SdiA-regulated, PF13449.12|Phytase-like	PFAM:PF06977.17, PFAM:PF13449.12
contig_1018	16797	17408	-	MDNEJI_03407	22.6	10.7	PF13338.12|AbiEi_4	PFAM:PF13338.12, SO:0001217, UniRef:UniRef50_A0A2T5PQF3
contig_1018	17807	18109	-	MDNEJI_03408	11.4	4.9		
contig_1018	20839	21108	-	MDNEJI_03412	10.1	10.0		
contig_1018	21265	21486	+	MDNEJI_03413	8.3	6.1	PF11903.14|ParD_like	PFAM:PF11903.14
contig_1018	22319	22552	+	MDNEJI_03415	8.6	4.7		SO:0001217, UniRef:UniRef50_A6V477
contig_1018	23255	23344	+	MDNEJI_03417	3.2	8.4		
contig_1018	35332	36330	+	MDNEJI_03431	34.8	4.9	PF04703.18|FaeA	PFAM:PF04703.18
contig_1019	5775	6935	+	MDNEJI_03444	43.7	10.3	PF01479.30|S4	PFAM:PF01479.30
contig_1019	52602	53459	+	MDNEJI_03487	31.1	10.8	PF00561.26|Abhydrolase_1, PF06821.19|Ser_hydrolase, PF12146.15|Hydrolase_4, PF12697.13|Abhydrolase_6	PFAM:PF00561.26, PFAM:PF06821.19, PFAM:PF12146.15, PFAM:PF12697.13
contig_1019	56486	57289	-	MDNEJI_03492	29.4	5.2	PF00903.31|Glyoxalase, PF13508.13|Acetyltransf_7, PF13673.13|Acetyltransf_10	PFAM:PF00903.31, PFAM:PF13508.13, PFAM:PF13673.13
contig_1019	124558	125052	-	MDNEJI_03551	18.1	10.0		
contig_1019	146024	146254	-	MDNEJI_03563	8.7	5.4		
contig_1019	150632	151513	-	MDNEJI_03568	32.7	8.6		SO:0001217, UniRef:UniRef50_Q9HZF6
contig_1019	157719	158063	+	MDNEJI_03574	13.0	4.8		
contig_1019	188009	188695	+	MDNEJI_03603	26.4	7.7	PF21842.1|DUF6901	PFAM:PF21842.1, SO:0001217, UniRef:UniRef50_A0A2A2EBK8
contig_1019	231590	234763	-	MDNEJI_03646	117.5	4.9	PF00575.29|S1, PF20833.2|RNase_E_G_Thio	PFAM:PF00575.29, PFAM:PF20833.2
contig_1019	261370	261552	-	MDNEJI_03678	6.2	8.1		
contig_1019	268471	268602	-	MDNEJI_03683	4.8	11.8		
contig_1019	276605	276811	-	MDNEJI_03691	7.7	7.9		
contig_1019	276833	276964	+	MDNEJI_03692	4.8	4.2		
contig_1019	277965	279143	-	MDNEJI_03694	40.0	10.4		
contig_1019	282774	284282	+	MDNEJI_03699	56.4	5.9		SO:0001217, UniRef:UniRef50_A0A0H2ZL62
contig_1019	314565	316004	+	MDNEJI_03730	53.5	9.3	PF00155.27|Aminotran_1_2, PF00392.27|GntR	PFAM:PF00155.27, PFAM:PF00392.27
contig_1019	318023	318445	+	MDNEJI_03733	15.3	9.8		
contig_1019	349112	349240	-	MDNEJI_03762	4.6	5.4		
contig_1019	354324	354641	+	MDNEJI_03768	11.9	11.5		
contig_1019	392780	393553	-	MDNEJI_03810	29.0	7.8		SO:0001217, UniRef:UniRef50_A0A7X1G4E4
contig_1019	399583	399861	-	MDNEJI_03818	9.9	10.0		SO:0001217, UniRef:UniRef50_A0A6P3A203
contig_1019	405889	406794	-	MDNEJI_03823	33.1	9.7	PF00126.33|HTH_1	PFAM:PF00126.33
contig_1019	406949	407356	+	MDNEJI_03824	14.9	4.8	PF07366.18|SnoaL, PF12680.13|SnoaL_2, PF13474.12|SnoaL_3	PFAM:PF07366.18, PFAM:PF12680.13, PFAM:PF13474.12
contig_1019	437717	438076	-	MDNEJI_03853	12.7	9.0		
contig_1019	456432	456752	-	MDNEJI_03873	12.2	6.4		
contig_1019	458700	458960	-	MDNEJI_03876	9.7	4.1		SO:0001217, UniRef:UniRef50_A0A2I8DH06
contig_1019	463889	464626	-	MDNEJI_03884	26.7	4.8		
contig_1019	465568	465960	-	MDNEJI_03886	14.8	5.0		SO:0001217, UniRef:UniRef50_A0A3Q9Q0E1
contig_1019	465982	466194	-	MDNEJI_03887	7.7	6.7		
contig_1019	478491	478703	-	MDNEJI_03899	8.1	10.5		
contig_1019	481429	481974	-	MDNEJI_03904	19.8	5.6		SO:0001217, UniRef:UniRef50_A0A553GZP6
contig_1019	482028	482267	-	MDNEJI_03905	8.2	4.1		SO:0001217, UniRef:UniRef50_A0A3M5DCM2
contig_1019	482291	482485	-	MDNEJI_03906	6.9	10.1		SO:0001217, UniRef:UniRef50_A0A2R4B5X0
contig_1019	482496	484637	-	MDNEJI_03907	80.4	6.1		
contig_1019	484688	485320	-	MDNEJI_03908	21.1	4.9		
contig_1019	487779	488159	-	MDNEJI_03913	15.3	11.7		
contig_1019	512492	512584	-	MDNEJI_03942	3.1	9.2		
contig_1019	521741	522082	-	MDNEJI_03951	12.9	6.6		SO:0001217, UniRef:UniRef50_Q9I062
contig_1019	529112	529336	+	MDNEJI_03962	8.2	4.1		SO:0001217, UniRef:UniRef50_A0A643J246
contig_1019	532277	532759	-	MDNEJI_03967	17.9	10.7		
contig_1019	534461	534556	+	MDNEJI_03970	3.3	6.0		
contig_1019	538108	538479	-	MDNEJI_03977	14.0	8.7		
contig_1019	542351	542812	+	MDNEJI_03982	16.7	5.9		SO:0001217, UniRef:UniRef50_A0A2R3IPE4
contig_1019	544092	544289	+	MDNEJI_03985	7.0	4.6		SO:0001217, UniRef:UniRef50_A0A072ZTR1
contig_1019	546208	547107	-	MDNEJI_03990	33.4	4.9		
contig_1019	547330	547563	+	MDNEJI_03991	8.5	9.5		SO:0001217, UniRef:UniRef50_A0A2R3J1Z7
contig_1019	547629	547859	+	MDNEJI_03992	8.8	9.5		SO:0001217, UniRef:UniRef50_A0A2N7Y653
contig_1020	42	296	+	MDNEJI_03998	9.9	8.7	PF00043.30|GST_C, PF13410.11|GST_C_2, PF14497.11|GST_C_3	PFAM:PF00043.30, PFAM:PF13410.11, PFAM:PF14497.11
contig_1023	145	453	-	MDNEJI_03999	11.7	8.2		
contig_1026	23	280	+	MDNEJI_04000	9.3	5.5		
contig_1027	21	383	+	MDNEJI_04001	13.6	8.6		
contig_1030	37215	37394	-	MDNEJI_04029	6.6	4.2		
contig_1030	41373	41603	-	MDNEJI_04033	8.3	6.0		
contig_1031	42	368	-	MDNEJI_04037	12.2	11.5		
contig_1032	46	465	-	MDNEJI_04038	15.6	5.6		
contig_1040	53	334	+	MDNEJI_04039	10.3	5.9		
contig_1041	7369	7953	-	MDNEJI_04050	22.0	6.2		SO:0001217, UniRef:UniRef50_A0A0K6H8Z4
contig_1041	7987	8217	-	MDNEJI_04051	8.6	4.5		SO:0001217, UniRef:UniRef50_A0A0K6H972
contig_1041	8214	8669	-	MDNEJI_04052	16.6	5.0		
contig_1041	8666	9181	-	MDNEJI_04053	18.8	5.3		
contig_1041	9172	9630	-	MDNEJI_04054	16.9	5.0		SO:0001217, UniRef:UniRef50_N6YWS7
contig_1041	11305	12372	-	MDNEJI_04057	36.5	5.7		
contig_1041	12365	12553	-	MDNEJI_04058	7.3	9.4		SO:0001217, UniRef:UniRef50_A0A0K6H8E8
contig_1041	13381	13497	-	MDNEJI_04061	4.3	11.8		
contig_1041	17804	18109	+	MDNEJI_04065	10.9	8.0		
contig_1041	21224	22171	-	MDNEJI_04067	35.1	11.6		
contig_1041	22718	23173	-	MDNEJI_04068	17.4	4.9		
contig_1041	23170	24036	-	MDNEJI_04069	31.9	5.1		SO:0001217, UniRef:UniRef50_A0A7Z7MWF5
contig_1043	16	258	+	MDNEJI_04078	9.0	5.7	PF08029.16|HisG_C	PFAM:PF08029.16
contig_1046	71	271	-	MDNEJI_04079	7.8	5.2		
contig_1048	4	312	+	MDNEJI_04080	12.0	9.5	PF00165.29|HTH_AraC, PF12833.13|HTH_18	PFAM:PF00165.29, PFAM:PF12833.13
contig_1049	124	408	-	MDNEJI_04081	9.2	4.5	PF00478.31|IMPDH	PFAM:PF00478.31
contig_1052	3553	3771	+	MDNEJI_04086	8.2	6.5		
contig_1052	7476	7700	+	MDNEJI_04090	8.5	4.5		SO:0001217, UniRef:UniRef50_A0A0U1UNS7
contig_1052	18302	18664	-	MDNEJI_04103	12.3	4.4		
contig_1054	51	389	+	MDNEJI_04104	12.2	10.8		
contig_1056	168	446	-	MDNEJI_04105	10.1	6.0		
contig_1063	9027	9476	-	MDNEJI_04113	16.3	5.2		
contig_1067	108	458	-	MDNEJI_04124	12.7	10.4		
contig_1068	37	351	+	MDNEJI_04125	11.9	6.5	PF01261.30|AP_endonuc_2	PFAM:PF01261.30
contig_1076	210	452	-	MDNEJI_04128	8.7	10.7		
contig_1081	123	446	-	MDNEJI_04129	12.2	5.9		
contig_1085	5054	5701	+	MDNEJI_04132	24.2	4.9		SO:0001217, UniRef:UniRef50_A0AAQ3LR07
contig_1091	22	435	+	MDNEJI_04135	15.6	9.7	PF07969.17|Amidohydro_3	PFAM:PF07969.17
contig_1094	28	243	+	MDNEJI_04136	8.0	4.4	PF01750.23|HycI	PFAM:PF01750.23
contig_1096	1125	1901	-	MDNEJI_04137	26.3	4.8		
contig_1096	2370	3509	-	MDNEJI_04138	39.0	4.7		
contig_1096	3735	5492	-	MDNEJI_04139	59.7	4.6		
contig_1097	293	424	-	MDNEJI_04140	5.1	5.4		
contig_1099	45	428	+	MDNEJI_04141	14.5	10.6		
contig_1106	229	390	-	MDNEJI_04143	5.9	10.8		
contig_1107	1147	1341	+	MDNEJI_04145	7.1	4.5		
contig_1107	1341	1667	+	MDNEJI_04146	11.7	6.1	PF24729.2|Acb2_Tad1_hairpin	PFAM:PF24729.2, SO:0001217, UniRef:UniRef50_A0A024HAR7
contig_1107	2638	2847	+	MDNEJI_04149	7.5	6.9	PF23843.1|DUF7210	PFAM:PF23843.1, SO:0001217, UniRef:UniRef50_A0A0S4L313
contig_1107	4108	4251	+	MDNEJI_04152	5.5	8.3		
contig_1110	234	374	-	MDNEJI_04153	5.0	8.1		
contig_1118	30	917	+	MDNEJI_04154	32.1	5.2		
contig_1118	5337	5522	+	MDNEJI_04158	7.0	9.4		
contig_1129	3804	4064	+	MDNEJI_04165	9.6	4.5		
contig_1130	30706	31128	+	MDNEJI_04191	15.4	5.1		
contig_1130	116912	117133	-	MDNEJI_04265	8.1	6.4		
contig_1130	176250	176996	+	MDNEJI_04323	28.4	6.9		SO:0001217, UniRef:UniRef50_Q9HWX9
contig_1130	178388	178807	+	MDNEJI_04326	15.2	11.2		
contig_1130	185414	187216	-	MDNEJI_04333	66.8	5.3	PF09822.16|ABC_transp_aux, PF23357.1|DUF7088	PFAM:PF09822.16, PFAM:PF23357.1
contig_1130	210310	210585	+	MDNEJI_04354	9.2	5.4		
contig_1130	211293	213032	-	MDNEJI_04356	62.6	5.8	PF02493.26|MORN	PFAM:PF02493.26
contig_1130	219786	221057	+	MDNEJI_04364	49.3	9.2	PF03432.20|Relaxase	PFAM:PF03432.20
contig_1130	222992	223855	-	MDNEJI_04365	34.3	9.2		
contig_1130	224179	224559	-	MDNEJI_04366	14.7	5.9		
contig_1130	224689	225072	+	MDNEJI_04367	15.1	6.0		
contig_1130	225424	226122	+	MDNEJI_04368	28.3	8.3		
contig_1130	226401	226757	-	MDNEJI_04369	13.2	9.0	PF02245.21|Pur_DNA_glyco	PFAM:PF02245.21
contig_1130	276283	276690	-	MDNEJI_04419	15.7	5.0		SO:0001217, UniRef:UniRef50_Q9HX56
contig_1130	282756	283472	+	MDNEJI_04427	25.1	4.3		
contig_1130	341216	342001	-	MDNEJI_04475	29.8	8.5		
contig_1130	341998	342381	-	MDNEJI_04476	14.8	5.5		SO:0001217, UniRef:UniRef50_Q9HXA7
contig_1130	364360	364461	-	MDNEJI_04498	3.4	6.5		
contig_1130	384396	386423	-	MDNEJI_04518	76.0	5.7	PF00593.30|TonB_dep_Rec_b-barrel, PF07715.20|Plug	PFAM:PF00593.30, PFAM:PF07715.20
contig_1130	390613	392184	-	MDNEJI_04523	57.9	8.9	PF00270.35|DEAD, PF00271.37|Helicase_C	PFAM:PF00270.35, PFAM:PF00271.37
contig_1130	398447	398761	+	MDNEJI_04530	11.2	9.5	PF01541.30|GIY-YIG	PFAM:PF01541.30
contig_1130	443934	444134	+	MDNEJI_04578	7.8	4.3		
contig_1130	477098	477880	+	MDNEJI_04612	28.1	10.0		
contig_1130	495729	496007	+	MDNEJI_04625	9.9	8.6	PF09360.15|zf-CDGSH	PFAM:PF09360.15
contig_1130	521552	521674	+	MDNEJI_04652	4.5	8.0		
contig_1130	529568	530035	-	MDNEJI_04661	17.0	9.9		
contig_1140	211	381	+	MDNEJI_04664	6.3	7.8	PF02545.19|Maf	PFAM:PF02545.19
contig_1141	2322	2726	+	MDNEJI_04667	14.0	9.4		
contig_1152	9	839	+	MDNEJI_04673	29.8	4.9		
contig_1152	3793	4134	+	MDNEJI_04676	12.8	10.0		SO:0001217, UniRef:UniRef50_Q5ZR06
contig_1152	4131	4436	+	MDNEJI_04677	11.6	5.4		SO:0001217, UniRef:UniRef50_A0A0S4L2V0
contig_1152	4436	5047	+	MDNEJI_04678	22.3	4.9		SO:0001217, UniRef:UniRef50_A0A0S4L050
contig_1152	5040	5240	+	MDNEJI_04679	6.9	4.1		SO:0001217, UniRef:UniRef50_A0A0S4L5A8
contig_1162	60	200	+	MDNEJI_04680	5.1	8.5		
contig_1174	266	1399	+	MDNEJI_04686	42.1	6.2		SO:0001217, UniRef:UniRef50_A0AAQ3LRW2
contig_1174	3349	3609	+	MDNEJI_04689	9.7	4.8		
contig_1174	4236	4772	-	MDNEJI_04691	18.5	5.0		
contig_1181	50	367	-	MDNEJI_04693	11.5	5.1		
contig_1185	114	314	-	MDNEJI_04694	6.9	4.1		SO:0001217, UniRef:UniRef50_A0A0S4L5A8
contig_1185	307	840	-	MDNEJI_04695	20.6	11.1		
contig_1185	830	1465	-	MDNEJI_04696	23.6	5.2		
contig_1185	1465	1749	-	MDNEJI_04697	10.7	6.0		SO:0001217, UniRef:UniRef50_A0A0S4L2V0
contig_1185	1746	2087	-	MDNEJI_04698	12.8	9.1		SO:0001217, UniRef:UniRef50_Q5ZR06
contig_1187	184	390	-	MDNEJI_04701	6.9	6.1	PF21244.3|PurT_C	PFAM:PF21244.3
contig_1190	98	382	-	MDNEJI_04702	10.3	5.8	PF00300.27|His_Phos_1	PFAM:PF00300.27
contig_1195	11	388	+	MDNEJI_04703	14.7	9.8		
contig_1196	3635	3871	-	MDNEJI_04707	8.4	4.2		
contig_1198	33	326	+	MDNEJI_04708	10.8	4.4		
contig_1203	4	300	+	MDNEJI_04709	10.8	6.1		
contig_1205	12	311	+	MDNEJI_04710	11.3	4.4		
contig_1207	106	342	+	MDNEJI_04711	8.3	4.1		
contig_1217	155	340	-	MDNEJI_04715	7.3	5.4	PF00874.25|PRD	PFAM:PF00874.25
contig_1218	526	1068	+	MDNEJI_04716	19.7	6.7		SO:0001217, UniRef:UniRef50_Q9APV2
contig_1233	78	314	-	MDNEJI_04720	9.1	5.1		
contig_1236	9	332	+	MDNEJI_04721	11.7	7.9		
contig_1240	12	1931	+	MDNEJI_04722	66.2	6.9	PF09718.15|Tape_meas_lam_C	PFAM:PF09718.15
contig_1241	2117	2263	+	MDNEJI_04727	5.3	6.5		
contig_1241	24115	24651	+	MDNEJI_04753	19.3	5.4		
contig_1241	27107	28240	-	MDNEJI_04757	42.6	6.5	PF01061.29|ABC2_membrane	PFAM:PF01061.29
contig_1241	30497	30982	-	MDNEJI_04760	17.6	6.4		
contig_1241	41357	41575	-	MDNEJI_04769	7.4	7.8		SO:0001217, UniRef:UniRef50_Q9HYJ4
contig_1241	55043	55849	+	MDNEJI_04782	30.7	6.7	PF00165.29|HTH_AraC, PF12680.13|SnoaL_2, PF12833.13|HTH_18	PFAM:PF00165.29, PFAM:PF12680.13, PFAM:PF12833.13
contig_1241	57381	57725	+	MDNEJI_04784	12.6	5.1	PF05899.18|Cupin_3	PFAM:PF05899.18
contig_1241	79037	79702	-	MDNEJI_04812	24.2	5.4		SO:0001217, UniRef:UniRef50_A0A0R0BZQ7
contig_1241	99384	100751	+	MDNEJI_04826	49.3	9.3		
contig_1241	109747	109902	-	MDNEJI_04836	5.5	9.7	PF00196.25|GerE	PFAM:PF00196.25
contig_1241	109857	110471	-	MDNEJI_04837	23.6	6.5	PF03472.21|Autoind_bind	PFAM:PF03472.21
contig_1241	161616	162047	-	MDNEJI_04878	14.9	11.1		
contig_1241	190214	190627	+	MDNEJI_04900	14.3	10.6		
contig_1241	193930	194874	-	MDNEJI_04903	33.4	5.6	PF00294.29|PfkB	PFAM:PF00294.29
contig_1241	208116	208292	+	MDNEJI_04915	6.8	10.1		
contig_1241	232353	233240	+	MDNEJI_04937	32.8	6.5	PF00126.33|HTH_1	PFAM:PF00126.33
contig_1241	315483	315692	+	MDNEJI_05013	7.9	11.4		SO:0001217, UniRef:UniRef50_A0A4Q8M0X3
contig_1241	322095	322682	+	MDNEJI_05023	21.0	11.3	PF10502.14|Peptidase_S26	PFAM:PF10502.14
contig_1241	338287	338523	-	MDNEJI_05036	9.3	10.4	PF13683.12|rve_3	PFAM:PF13683.12
contig_1241	342585	343061	+	MDNEJI_05040	17.8	8.1	PF01402.27|RHH_1	PFAM:PF01402.27
contig_1241	353451	353744	+	MDNEJI_05052	11.0	4.6		SO:0001217, UniRef:UniRef50_A0AAQ3LV53
contig_1241	365615	366013	+	MDNEJI_05064	14.4	7.9		
contig_1241	384843	385247	+	MDNEJI_05081	14.5	7.8		
contig_1241	411793	412596	+	MDNEJI_05105	29.5	5.5		
contig_1241	416572	416997	-	MDNEJI_05109	15.5	4.7		
contig_1241	432758	433297	-	MDNEJI_05120	19.2	8.8		
