Product_normalized	OriginalProducts	Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	DbXrefs
energy transducer tonb1	energy transducer TonB1	contig_555	cds	23208	24236	+	MDNEJI_00921	tonB1	BlastRules:WP_010895710, SO:0001217, UniRef:UniRef50_Q51368
energy-dependent translational throttle protein etta	Energy-dependent translational throttle protein EttA	contig_952	cds	100974	102638	+	MDNEJI_02982	ettA	SO:0001217, UniRef:UniRef50_A0A371QPE2
enolase	Enolase	contig_1241	cds	272377	273666	-	MDNEJI_04979		SO:0001217, UniRef:UniRef50_P0A6P9
enolase-phosphatase e1	Enolase-phosphatase E1	contig_666	cds	31594	32271	+	MDNEJI_01129		SO:0001217, UniRef:UniRef50_Q48389
enoyl reductase (er) domain-containing protein	Enoyl reductase (ER) domain-containing protein	contig_777	cds	150056	151060	-	MDNEJI_01480		SO:0001217, UniRef:UniRef50_A0A1G6QDR7
enoyl-[acyl-carrier-protein] reductase [nadh]	Enoyl-[acyl-carrier-protein] reductase [NADH]	contig_1019;contig_941	cds	110074;257056	110871;258252	+	MDNEJI_02871;MDNEJI_03673		SO:0001217, UniRef:UniRef50_A0A2E4LCG7;SO:0001217, UniRef:UniRef50_A0A2P5T2P5
enoyl-[acyl-carrier-protein] reductase [nadph] fabl	Enoyl-[acyl-carrier-protein] reductase [NADPH] FabL	contig_1019	cds	293378	294151	-	MDNEJI_03709	fabL	SO:0001217, UniRef:UniRef50_A0A1B9ELT7
enoyl-coa hydratase	Enoyl-CoA hydratase;enoyl-CoA hydratase;putative enoyl-CoA hydratase echA8	contig_1019;contig_1241;contig_1352;contig_666;contig_908;contig_941	cds	143195;532765;57745;601077;77397;91121	143956;533733;58515;602312;79541;91933	+;-	MDNEJI_01183;MDNEJI_02508;MDNEJI_02856;MDNEJI_03968;MDNEJI_04785;MDNEJI_05321	echA8	SO:0001217, UniRef:UniRef50_A0A072ZTS3;SO:0001217, UniRef:UniRef50_A0A0C6FAV3;SO:0001217, UniRef:UniRef50_A0A0D6STF3;SO:0001217, UniRef:UniRef50_A0A2W5W360;SO:0001217, UniRef:UniRef50_A0A4V6ICI5;SO:0001217, UniRef:UniRef50_R4YR73
enoyl-coa hydratase-isomerase	Enoyl-CoA hydratase-isomerase	contig_1241	cds	228429	229226	-	MDNEJI_04934		SO:0001217, UniRef:UniRef50_A0A0U5I0E4
enoyl-coa hydratase/carnithine racemase	Enoyl-CoA hydratase/carnithine racemase	contig_777	cds	127807	128592	-	MDNEJI_01460		SO:0001217, UniRef:UniRef50_A0A1H1YYG0
enoyl-coa hydratase/isomerase	Putative enoyl-CoA hydratase/isomerase	contig_896	cds	28929	29726	+	MDNEJI_01688		SO:0001217, UniRef:UniRef50_A4C9N0
enoyl-coa hydratase/isomerase (paaf)	Putative enoyl-CoA hydratase/isomerase (PaaF)	contig_1796	cds	126674	127492	+	MDNEJI_06666		SO:0001217, UniRef:UniRef50_D8P3N6
enterobactin exporter ents	Enterobactin exporter EntS	contig_952	cds	64312	65523	-	MDNEJI_02952	entS	SO:0001217, UniRef:UniRef50_A0A1A8TAZ6
enterobactin synthase component d	Enterobactin synthase component D	contig_919	cds	118816	119544	+	MDNEJI_02629		SO:0001217, UniRef:UniRef50_Q9I4H2
enterochelin esterase n-terminal domain-containing protein	Enterochelin esterase N-terminal domain-containing protein	contig_1685	cds	21592	23172	+	MDNEJI_06352		SO:0001217, UniRef:UniRef50_Q9I130
epimerase	Epimerase	contig_985	cds	31643	32425	-	MDNEJI_03218		SO:0001217, UniRef:UniRef50_Q88HH8
epoxide hydrolase a	Epoxide hydrolase A	contig_1130	cds	241468	242358	+	MDNEJI_04385		SO:0001217, UniRef:UniRef50_A0A6J5DK99
epoxyqueuosine reductase	Epoxyqueuosine reductase	contig_908	cds	285252	286337	+	MDNEJI_02220		SO:0001217, UniRef:UniRef50_Q9HUL4
er-bound oxygenase mpab/mpab'/rubber oxygenase catalytic domain-containing protein	ER-bound oxygenase mpaB/mpaB'/Rubber oxygenase catalytic domain-containing protein	contig_908	cds	47571	48452	+	MDNEJI_01992		SO:0001217, UniRef:UniRef50_K2JF19
error-prone dna polymerase	Error-prone DNA polymerase;error-prone DNA polymerase	contig_111;contig_1796	cds	15006;234595	15893;237669	+;-	MDNEJI_00032;MDNEJI_06784	dnaE2	BlastRules:WP_010895514, SO:0001217, UniRef:UniRef50_A0A0R0CQ01;SO:0001217, UniRef:UniRef50_A0A109KS37
erythronate-4-phosphate dehydrogenase	Erythronate-4-phosphate dehydrogenase	contig_930	cds	2403	3545	+	MDNEJI_02645		SO:0001217, UniRef:UniRef50_Q48KQ3
es222 srna	ES222 sRNA	contig_41	ncRNA	21	128	-	MDNEJI_00006	ES222	RFAM:RF02755, SO:0000655
essential protein yae1 n-terminal domain-containing protein	Essential protein Yae1 N-terminal domain-containing protein	contig_1041	cds	13510	14040	-	MDNEJI_04062		SO:0001217, UniRef:UniRef50_A0A7Z7HTG1
ester cyclase	Ester cyclase	contig_930;contig_952	cds	16802;52199	17206;52642	-	MDNEJI_02658;MDNEJI_02944		SO:0001217, UniRef:UniRef50_A3VHM1;SO:0001217, UniRef:UniRef50_Q9HVG1
esterase	Esterase;Putative esterase	contig_777	cds	117585;140887	118022;141924	+;-	MDNEJI_01449;MDNEJI_01471		SO:0001217, UniRef:UniRef50_A0A379IAY6;SO:0001217, UniRef:UniRef50_M4XEY9
esterase esta	esterase EstA	contig_908	cds	484375	486315	-	MDNEJI_02385	estA	BlastRules:WP_003115524, SO:0001217, UniRef:UniRef50_P40604
esterase estb	Esterase EstB	contig_1685	cds	215751	216926	+	MDNEJI_06486	estB	SO:0001217, UniRef:UniRef50_G0F118
esterase yhet	Putative esterase YheT	contig_1463	cds	288883	289881	+	MDNEJI_05902	yheT	SO:0001217, UniRef:UniRef50_A0A024HA88
esterase yqia	Esterase YqiA	contig_908	cds	308020	308706	-	MDNEJI_02238	yqiA	SO:0001217, UniRef:UniRef50_A0A383S1H4
esterase/deacetylase	Esterase/deacetylase	contig_333	cds	73671	74627	+	MDNEJI_00523		SO:0001217, UniRef:UniRef50_A0A3S4MWP7
esterified fatty acid cis/trans isomerase	Esterified fatty acid cis/trans isomerase	contig_941	cds	64578	66866	-	MDNEJI_02829		SO:0001217, UniRef:UniRef50_Q88KB4
ethanolamine ammonia-lyase large subunit	Ethanolamine ammonia-lyase large subunit	contig_1130	cds	201256	202650	-	MDNEJI_04348		SO:0001217, UniRef:UniRef50_I4CP55
ethanolamine ammonia-lyase small subunit	Ethanolamine ammonia-lyase small subunit	contig_1130	cds	200424	201245	-	MDNEJI_04347		SO:0001217, UniRef:UniRef50_Q88QF2
ethanolamine permease	Ethanolamine permease	contig_1130	cds	202709	204157	-	MDNEJI_04349		SO:0001217, UniRef:UniRef50_A0A837ZL67
ethanolamine utilization protein euth	Ethanolamine utilization protein EutH	contig_930	cds	110389	111624	+	MDNEJI_02748	eutH	SO:0001217, UniRef:UniRef50_A0A3N4NVB9
ethyl acetate hydrolase	Ethyl acetate hydrolase	contig_1685	cds	118129	119094	+	MDNEJI_06405		SO:0001217, UniRef:UniRef50_Q8KQK1
eve domain-containing protein	EVE domain-containing protein	contig_974	cds	41245	41703	+	MDNEJI_03144		SO:0001217, UniRef:UniRef50_A0A0P9REA4
exo-alpha-sialidase	Exo-alpha-sialidase	contig_908;contig_963	cds	10033;514652	11139;516133	+;-	MDNEJI_02411;MDNEJI_03012		SO:0001217, UniRef:UniRef50_A0A679GV06;SO:0001217, UniRef:UniRef50_A0A840S4D6
exodeoxyribonuclease 7 large subunit	Exodeoxyribonuclease 7 large subunit	contig_1130	cds	474666	476045	-	MDNEJI_04610		SO:0001217, UniRef:UniRef50_Q9HXL8
exodeoxyribonuclease 7 small subunit	Exodeoxyribonuclease 7 small subunit	contig_1130	cds	182604	182948	-	MDNEJI_04330		SO:0001217, UniRef:UniRef50_Q9HWY5
exodeoxyribonuclease i	Exodeoxyribonuclease I	contig_444	cds	50144	51586	-	MDNEJI_00711		SO:0001217, UniRef:UniRef50_A0A0N8SPI6
exodeoxyribonuclease iii	Exodeoxyribonuclease III	contig_1130;contig_1574	cds	226089;41424	226901;42224	-	MDNEJI_04202;MDNEJI_06240		SO:0001217, UniRef:UniRef50_A0A503X735;SO:0001217, UniRef:UniRef50_P09030
exoenzyme s synthesis regulatory protein exsa	Exoenzyme S synthesis regulatory protein ExsA	contig_1463	cds	86581	87492	+	MDNEJI_05707	exsA	SO:0001217, UniRef:UniRef50_A0A9P1R587
exonuclease	Exonuclease	contig_666	cds	153276	153902	-	MDNEJI_01262		SO:0001217, UniRef:UniRef50_A0A383RTU6
exonuclease domain-containing protein	Exonuclease domain-containing protein	contig_111	cds	46809	47435	-	MDNEJI_00070		SO:0001217, UniRef:UniRef50_N2JCC3
exonuclease sbcc	Exonuclease SbcC	contig_908	cds	558439	559191	-	MDNEJI_02464	sbcC	SO:0001217, UniRef:UniRef50_A0A9P1R1Q4
exopolyphosphatase	Exopolyphosphatase	contig_974	cds	56652	58157	+	MDNEJI_03156		SO:0001217, UniRef:UniRef50_Q9ZN70
exotoxin a	exotoxin A	contig_1352	cds	4959	6875	+	MDNEJI_05182	toxA	BlastRules:WP_023114091, EC:2.4.2.36, SO:0001217, UniRef:UniRef50_P11439
exotoxin a regulatory protein	Exotoxin A regulatory protein	contig_1796	cds	184759	185538	+	MDNEJI_06744		SO:0001217, UniRef:UniRef50_P09852
extensin-like c-terminal domain-containing protein	Extensin-like C-terminal domain-containing protein	contig_1241	cds	373944	374639	-	MDNEJI_05071		SO:0001217, UniRef:UniRef50_A0A2T5HLD1
extracellular solute-binding protein	Putative extracellular solute-binding protein	contig_908	cds	329983	331074	-	MDNEJI_02256		SO:0001217, UniRef:UniRef50_A0A024HQ22
extracelullar dna degradation protein, eddb	Extracelullar DNA degradation protein, EddB	contig_1130	cds	338062	340404	+	MDNEJI_04473	eddB	SO:0001217, UniRef:UniRef50_Q9HXA4
extracytoplasmic function sigma factor (iron-regulated) protein	Extracytoplasmic function sigma factor (Iron-regulated) protein	contig_963	cds	4589	5113	-	MDNEJI_03005		SO:0001217, UniRef:UniRef50_F6FY86
extradiol ring-cleavage dioxygenase class iii enzyme subunit b domain-containing protein	Extradiol ring-cleavage dioxygenase class III enzyme subunit B domain-containing protein	contig_1019	cds	374166	374936	-	MDNEJI_03791		SO:0001217, UniRef:UniRef50_Q885Q5
f	FecR domain-containing protein;FecR protein domain-containing protein	contig_1130;contig_1463;contig_963	cds	170671;191607;348488;3750	171642;192608;349441;4592	+;-	MDNEJI_03004;MDNEJI_04337;MDNEJI_04483;MDNEJI_05799	fecR	SO:0001217, UniRef:UniRef50_A0A0D5Y904;SO:0001217, UniRef:UniRef50_A0A3M3EAW3;SO:0001217, UniRef:UniRef50_A0A923JRF0;SO:0001217, UniRef:UniRef50_A0AA35IBQ4
f0f1-type atp synthase subunit beta	F0F1-type ATP synthase subunit beta	contig_1019	cds	189821	190624	-	MDNEJI_03606		SO:0001217, UniRef:UniRef50_Q9HZJ1
fabg protein	FabG protein	contig_1019	cds	11752	12492	-	MDNEJI_03450	fabG	SO:0001217, UniRef:UniRef50_A0A0C5E5Q6
fabg1	FabG1	contig_941	cds	84342	85109	+	MDNEJI_02849	fabG1	SO:0001217, UniRef:UniRef50_A0A1W1H7J3
fad assembly factor sdhe	FAD assembly factor SdhE	contig_1796	cds	111063	111317	-	MDNEJI_06651	sdhE	SO:0001217, UniRef:UniRef50_Q9I5G9
fad dependent oxidoreductase	FAD dependent oxidoreductase	contig_1463	cds	112445	113734	-	MDNEJI_05736		SO:0001217, UniRef:UniRef50_A0A379IW41
fad dependent oxidoreductase domain-containing protein	FAD dependent oxidoreductase domain-containing protein	contig_1130	cds	27165	28484	-	MDNEJI_04188		SO:0001217, UniRef:UniRef50_A0AA37REV2
fad-binding fr-type domain-containing protein	FAD-binding FR-type domain-containing protein	contig_896	cds	8569	9525	-	MDNEJI_01667		SO:0001217, UniRef:UniRef50_A0AAU9AK36
fad-binding oxidoreductase	FAD-binding oxidoreductase	contig_1352	cds	134897	136183	-	MDNEJI_05312		SO:0001217, UniRef:UniRef50_A0A0F6RU37
fad-binding pcmh-type domain-containing protein	FAD-binding PCMH-type domain-containing protein	contig_1130;contig_930	cds	32130;77717	33512;79510	-	MDNEJI_02673;MDNEJI_04233		SO:0001217, UniRef:UniRef50_Q9HWP1;SO:0001217, UniRef:UniRef50_Q9I3S8
fad-containing monooxygenase etha	FAD-containing monooxygenase EthA	contig_919	cds	74171	75670	-	MDNEJI_02586	ethA	SO:0001217, UniRef:UniRef50_A0A1X7AEF7
fad-dependent catabolic d-arginine dehydrogenase daua	FAD-dependent catabolic D-arginine dehydrogenase DauA	contig_1130	cds	388355	389482	-	MDNEJI_04521	dauA	BlastRules:WP_003113780, EC:1.4.99.6, SO:0001217, UniRef:UniRef50_A0A521VEC9
fad-dependent monooxygenase	FAD-dependent monooxygenase	contig_111	cds	186942	188108	+	MDNEJI_00198		SO:0001217, UniRef:UniRef50_A0A0W7X9B9
fad-dependent monooxygenase pqsl	FAD-dependent monooxygenase PqsL	contig_1130	cds	21868	23073	-	MDNEJI_04184	pqsL	BlastRules:WP_003101379, SO:0001217, UniRef:UniRef50_A0A3S4MW59
fad-dependent oxidoreductase	FAD-dependent oxidoreductase	contig_930;contig_985	cds	106447;50223	107685;51956	-	MDNEJI_02745;MDNEJI_03236		SO:0001217, UniRef:UniRef50_A0A4D7AWE5;SO:0001217, UniRef:UniRef50_UPI000F538802
fad-dependent oxidoreductase pa4991	putative FAD-dependent oxidoreductase PA4991	contig_908	cds	336595	337770	+	MDNEJI_02262		SO:0001217, UniRef:UniRef50_Q9HUH4
fad-linked oxidoreductase	Putative FAD-linked oxidoreductase	contig_1019	cds	176642	178237	+	MDNEJI_03595		SO:0001217, UniRef:UniRef50_A0A1X7AN47
fad/fmn-containing dehydrogenase	FAD/FMN-containing dehydrogenase	contig_907	cds	51647	52117	+	MDNEJI_01855		SO:0001217, UniRef:UniRef50_I4N133
fad/nad(p)-binding domain-containing protein	FAD/NAD(P)-binding domain-containing protein	contig_1130;contig_919	cds	3887;42946	43833;5140	+;-	MDNEJI_02521;MDNEJI_04204		SO:0001217, UniRef:UniRef50_A0A172YC22;SO:0001217, UniRef:UniRef50_Q9HWL1
fad/nad(p)-binding oxidoreductase	FAD/NAD(P)-binding oxidoreductase	contig_1574	cds	201903	203090	+	MDNEJI_06216		SO:0001217, UniRef:UniRef50_A0A0N9ZXH9
fad:protein fmn transferase	FAD:protein FMN transferase	contig_1019	cds	216025	217026	+	MDNEJI_03628		SO:0001217, UniRef:UniRef50_S6AHU3
faga protein	FagA protein	contig_907	cds	127613	128008	+	MDNEJI_01917	fagA	SO:0001217, UniRef:UniRef50_G3XD99
fas1-like dehydratase domain-containing protein	FAS1-like dehydratase domain-containing protein	contig_1352	cds	361644	362471	-	MDNEJI_05535		SO:0001217, UniRef:UniRef50_A0A0D5Y0W4
fatty acid desaturase	Fatty acid desaturase	contig_908;contig_941	cds	475976;5080	476914;6354	+;-	MDNEJI_02375;MDNEJI_02777		SO:0001217, UniRef:UniRef50_A0A0N0E1E9;SO:0001217, UniRef:UniRef50_A0A1H8XGT2
fatty acid desaturase desb	fatty acid desaturase DesB	contig_908	cds	212344	213432	-	MDNEJI_02155	desB	BlastRules:WP_003121132, SO:0001217, UniRef:UniRef50_A0A3M5DBS5
fatty acid hydroxylase domain-containing protein	Fatty acid hydroxylase domain-containing protein	contig_1141;contig_333;contig_941	cds	1360;3119;91255	2325;3886;92382	+	MDNEJI_00541;MDNEJI_02775;MDNEJI_04666		SO:0001217, UniRef:UniRef50_A0A0F9MTY7;SO:0001217, UniRef:UniRef50_Q9I1Z3;SO:0001217, UniRef:UniRef50_Q9I2K0
fatty acid methyltransferase	putative fatty acid methyltransferase	contig_555	cds	8498	9682	+	MDNEJI_00906		SO:0001217, UniRef:UniRef50_P31049
fatty acid oxidation complex subunit alpha	Fatty acid oxidation complex subunit alpha	contig_1019;contig_666	cds	191067;86521	193214;87210	+;-	MDNEJI_01194;MDNEJI_03607		SO:0001217, UniRef:UniRef50_A0A0B7D7I6;SO:0001217, UniRef:UniRef50_P28793
fe(2+)-trafficking protein	putative Fe(2+)-trafficking protein	contig_908	cds	527291	527563	+	MDNEJI_02425		SO:0001217, UniRef:UniRef50_Q3KJJ3
fe(3+) dicitrate transport protein f	Fe(3+) dicitrate transport protein FecA	contig_1130	cds	346039	348393	-	MDNEJI_04482	fecA	BlastRules:WP_003113763, SO:0001217, UniRef:UniRef50_Q9HXB2
fe(3+) ions import atp-binding protein fbpc	Fe(3+) ions import ATP-binding protein FbpC	contig_1241	cds	163285	164367	+	MDNEJI_04880	fbpC	SO:0001217, UniRef:UniRef50_A0A124ZXN0
fe(3+)-pyochelin r	Fe(3+)-pyochelin receptor FptA	contig_996	cds	5766	7928	-	MDNEJI_03266	fptA	BlastRules:WP_003111969, SO:0001217, UniRef:UniRef50_P42512
fe-s cluster assembly transcriptional regulator iscr	Fe-S cluster assembly transcriptional regulator IscR	contig_1130	cds	438624	439115	+	MDNEJI_04571	iscR	SO:0001217, UniRef:UniRef50_A0A4R5HGD4
fe-s metabolism associated domain-containing protein	Fe-S metabolism associated domain-containing protein	contig_1241	cds	357759	358181	+	MDNEJI_05058		SO:0001217, UniRef:UniRef50_Q9HXX2
fe-s protein	Fe-S protein	contig_111;contig_1130;contig_666	cds	11403;135223;506529	11615;135690;506723	+;-	MDNEJI_00027;MDNEJI_01235;MDNEJI_04636		SO:0001217, UniRef:UniRef50_A0A024HEV2;SO:0001217, UniRef:UniRef50_A0A077LP36;SO:0001217, UniRef:UniRef50_A0A1I4N2C6
fe/b12 periplasmic-binding domain-containing protein	Fe/B12 periplasmic-binding domain-containing protein	contig_1019;contig_1130;contig_908	cds	17709;178807;297857	179604;18602;298828	+;-	MDNEJI_01964;MDNEJI_03714;MDNEJI_04327		SO:0001217, UniRef:UniRef50_A0A0C5EEA1;SO:0001217, UniRef:UniRef50_A0A0C5EFE3;SO:0001217, UniRef:UniRef50_N2J020
fe/s biogenesis protein nfua	Fe/S biogenesis protein NfuA	contig_941	cds	63871	64455	-	MDNEJI_02828	nfuA	SO:0001217, UniRef:UniRef50_Q9I2P8
fe2og dioxygenase domain-containing protein	Fe2OG dioxygenase domain-containing protein	contig_1463;contig_941	cds	351984;6371	352613;6994	+;-	MDNEJI_02778;MDNEJI_05966		SO:0001217, UniRef:UniRef50_Q9I2K3;SO:0001217, UniRef:UniRef50_S6AES0
ferredoxin	Ferredoxin	contig_1241;contig_1574;contig_1685;contig_555	cds	158814;21135;21490;241946;260859	161255;21473;23799;242191;261182	+;-	MDNEJI_01042;MDNEJI_04964;MDNEJI_06048;MDNEJI_06049;MDNEJI_06504		SO:0001217, UniRef:UniRef50_A0A2A6E1S1;SO:0001217, UniRef:UniRef50_A0A916MVX9;SO:0001217, UniRef:UniRef50_Q9HTF2;SO:0001217, UniRef:UniRef50_Q9I0C7
ferredoxin subunit of nitrite reductase or a ring-hydroxylating dioxygenase	Ferredoxin subunit of nitrite reductase or a ring-hydroxylating dioxygenase	contig_908	cds	22278	22601	+	MDNEJI_01967		SO:0001217, UniRef:UniRef50_A0A1G8XGR2
ferredoxin--nadp(+) reductase	ferredoxin--NADP(+) reductase	contig_952	cds	74555	75331	+	MDNEJI_02960		SO:0001217, UniRef:UniRef50_A0A1C7Z173
ferredoxin-nadp reductase	ferredoxin-NADP reductase	contig_1241	cds	24734	25510	-	MDNEJI_04754	fpr	BlastRules:WP_003091832, SO:0001217, UniRef:UniRef50_G4QDS0
ferric citrate outer membrane transporter kple2 phage-like element	Ferric citrate outer membrane transporter KpLE2 phage-like element	contig_111	cds	105316	107481	-	MDNEJI_00133		SO:0001217, UniRef:UniRef50_Q1LB10
ferric enterobactin esterase pfee	ferric enterobactin esterase PfeE	contig_1574	cds	48386	49300	-	MDNEJI_06074	pfeE	BlastRules:WP_003090549, SO:0001217, UniRef:UniRef50_Q9I0F2
ferric enterobactin transport system permease protein fepg	Ferric enterobactin transport system permease protein FepG	contig_1130	cds	52465	53496	-	MDNEJI_04212	fepG	SO:0001217, UniRef:UniRef50_A0A5E6TG27
ferric iron-binding periplasmic protein hita	Ferric iron-binding periplasmic protein HitA	contig_1030	cds	5499	6506	-	MDNEJI_04007	hitA	SO:0001217, UniRef:UniRef50_Q9HVA8
ferric uptake regulation protein	Ferric uptake regulation protein	contig_908	cds	80722	81126	-	MDNEJI_02025		SO:0001217, UniRef:UniRef50_A0A0K0XX04
ferric-mycobactin r, fema	Ferric-mycobactin receptor, FemA	contig_896	cds	146709	149123	+	MDNEJI_01791	femA	SO:0001217, UniRef:UniRef50_Q9I2J4
ferrienterobactin-binding periplasmic protein	Ferrienterobactin-binding periplasmic protein	contig_1130	cds	54546	55451	-	MDNEJI_04214		SO:0001217, UniRef:UniRef50_A0A1X6YJS9
ferrioxamine r	ferrioxamine receptor FoxA	contig_1574	cds	318203	320665	+	MDNEJI_06320	foxA	BlastRules:WP_003113289, SO:0001217, UniRef:UniRef50_N2JT74
ferritin-like domain-containing protein	Ferritin-like domain-containing protein	contig_908	cds	205301	205834	+	MDNEJI_02147		SO:0001217, UniRef:UniRef50_A0A4Y9S937
ferritin/dps protein domain-containing protein	Ferritin/DPS protein domain-containing protein	contig_1352	cds	274885	275355	+	MDNEJI_05444		SO:0001217, UniRef:UniRef50_A0A062UG21
ferrochelatase	Ferrochelatase	contig_952	cds	26989	28011	+	MDNEJI_02917		SO:0001217, UniRef:UniRef50_Q9HVD7
ferrous iron transport protein a	Ferrous iron transport protein A	contig_444	cds	93155	93382	-	MDNEJI_00754		SO:0001217, UniRef:UniRef50_M4X1J3
ferrous iron transport protein b	Ferrous iron transport protein B	contig_444	cds	90837	93137	-	MDNEJI_00753		SO:0001217, UniRef:UniRef50_A0A2X3DAI9
fet family ferric iron abc transporter permease	FeT family ferric iron ABC transporter permease	contig_974	cds	28659	30278	-	MDNEJI_03129		SO:0001217, UniRef:UniRef50_A0AAQ1SWM5
fha domain-containing protein	FHA domain-containing protein	contig_666	cds	12354	13547	+	MDNEJI_01109		SO:0001217, UniRef:UniRef50_A0A1A5DCK8
fido domain-containing protein	Fido domain-containing protein	contig_952	cds	5852	6952	-	MDNEJI_02896		SO:0001217, UniRef:UniRef50_A0A6C2TZM6
fig146805: plasmid related protein	FIG146805: Plasmid related protein	contig_1019	cds	456036	456341	-	MDNEJI_03872		SO:0001217, UniRef:UniRef50_A0A4P7YAN8
filamentous hemagglutinin family protein	Filamentous hemagglutinin family protein	contig_1796	cds	203890	216429	-	MDNEJI_06763		SO:0001217, UniRef:UniRef50_A0AAQ3LLW4
fimbrial biogenesis outer membrane usher protein	Fimbrial biogenesis outer membrane usher protein	contig_952	cds	30610	32985	-	MDNEJI_02920		SO:0001217, UniRef:UniRef50_A0A7X1FFP2
fimbrial biogenesis outer membrane usher protein cupb3	fimbrial biogenesis outer membrane usher protein CupB3	contig_1130	cds	140162	142942	+	MDNEJI_04288	cupB3	BlastRules:WP_010895669, SO:0001217, UniRef:UniRef50_A0A6I3W0D4
fimbrial subunit cupa1	Fimbrial subunit CupA1	contig_333	cds	99810	100292	+	MDNEJI_00547	cupA1	SO:0001217, UniRef:UniRef50_Q9I1Y7
fimbrial subunit cupa4	Fimbrial subunit CupA4	contig_333	cds	103725	105086	+	MDNEJI_00550	cupA4	SO:0001217, UniRef:UniRef50_Q9I1Y4
fimbrial subunit cupb6	Fimbrial subunit CupB6	contig_1130	cds	146923	148068	+	MDNEJI_04291	cupB6	SO:0001217, UniRef:UniRef50_Q9HWU7
fimbrial-type adhesion domain-containing protein	Fimbrial-type adhesion domain-containing protein	contig_1130;contig_1574;contig_885	cds	138713;142147;179187	139309;143061;180242	+;-	MDNEJI_01639;MDNEJI_04286;MDNEJI_06195		SO:0001217, UniRef:UniRef50_A0A0H2ZBX9;SO:0001217, UniRef:UniRef50_A0A3M5DHB6;SO:0001217, UniRef:UniRef50_Q9HTS0
fis family transcriptional regulator	Fis family transcriptional regulator	contig_1685	cds	175247	176377	+	MDNEJI_06451		SO:0001217, UniRef:UniRef50_A0A2L0ELX2
fixh family protein	FixH family protein	contig_777	cds	42523	43062	-	MDNEJI_01379	fixH	SO:0001217, UniRef:UniRef50_A0A246F7N6
fkbp-type peptidyl-prolyl cis-trans isomerase	putative FKBP-type peptidyl-prolyl cis-trans isomerase	contig_974	cds	71973	72602	+	MDNEJI_03170		SO:0001217, UniRef:UniRef50_P30417
flag	FlaG	contig_1352	cds	62815	63201	-	MDNEJI_05240	flaG	SO:0001217, UniRef:UniRef50_O33420
flagella synthesis protein flgn	flagella synthesis protein FlgN	contig_111	cds	212515	212985	+	MDNEJI_00222	flgN	SO:0001217, UniRef:UniRef50_Q9HYP4, VFDB:VFC0204, VFDB:VFG014668
flagellar assembly protein h	flagellar assembly protein H	contig_1352	cds	51425	52231	-	MDNEJI_05229	fliH	SO:0001217, UniRef:UniRef50_A0A3N4AS86, VFDB:VFC0204, VFDB:VFG001253
flagellar basal body p-ring biosynthesis protein flga	flagellar basal body P-ring biosynthesis protein FlgA	contig_111	cds	211255	211992	+	MDNEJI_00220	flgA	SO:0001217, UniRef:UniRef50_Q88EQ9, VFDB:VFC0204, VFDB:VFG014642
flagellar basal body protein flil	flagellar basal body protein FliL	contig_930	cds	64404	64925	+	MDNEJI_02699	fliL	SO:0001217, UniRef:UniRef50_A0A9X7YSX5, VFDB:VFC0204, VFDB:VFG014486
flagellar basal body rod protein flgb	flagellar basal body rod protein FlgB	contig_1352	cds	86271	86678	-	MDNEJI_05261	flgB	SO:0001217, UniRef:UniRef50_R4YL82, VFDB:VFC0204, VFDB:VFG014148
flagellar basal-body rod modification protein flgd	flagellar basal-body rod modification protein FlgD	contig_1352	cds	85099	85812	-	MDNEJI_05259	flgD	SO:0001217, UniRef:UniRef50_Q9I4Q0, VFDB:VFC0204, VFDB:VFG001237
flagellar basal-body rod protein flgc	flagellar basal-body rod protein FlgC	contig_1352	cds	85825	86265	-	MDNEJI_05260	flgC	SO:0001217, UniRef:UniRef50_A0A9E5AA33, VFDB:VFC0204, VFDB:VFG001236
flagellar basal-body rod protein flgf	flagellar basal-body rod protein FlgF	contig_1352	cds	82717	83466	-	MDNEJI_05257	flgF	SO:0001217, UniRef:UniRef50_Q9I4P8, VFDB:VFC0204, VFDB:VFG001239
flagellar basal-body rod protein flgg	flagellar basal-body rod protein FlgG	contig_1352	cds	81885	82670	-	MDNEJI_05256	flgG	SO:0001217, UniRef:UniRef50_A0A0F4XRA3, VFDB:VFC0204, VFDB:VFG001240
flagellar biosynthesis protein flha	flagellar biosynthesis protein FlhA	contig_930	cds	72697	74820	+	MDNEJI_02709	flhA	SO:0001217, UniRef:UniRef50_A0A518N770, VFDB:VFC0204, VFDB:VFG001263
flagellar biosynthesis protein flhf	flagellar biosynthesis protein FlhF	contig_930	cds	74904	76193	+	MDNEJI_02710	flhF	SO:0001217, UniRef:UniRef50_Q9I3P8, VFDB:VFC0204, VFDB:VFG001264
flagellar biosynthesis sigma factor flia	flagellar biosynthesis sigma factor FliA	contig_930	cds	77195	77914	+	MDNEJI_02712	fliA	SO:0001217, UniRef:UniRef50_A4BEH8, VFDB:VFC0204, VFDB:VFG014629
flagellar biosynthetic protein flhb	flagellar biosynthetic protein FlhB	contig_930	cds	68716	69852	+	MDNEJI_02706	flhB	SO:0001217, UniRef:UniRef50_A0A5E6WKK1, VFDB:VFC0204, VFDB:VFG001262
