# Annotated with Bakta								
# Software: v1.8.2								
"# Database: v5.0, light"								
# DOI: 10.1099/mgen.0.000685								
# URL: github.com/oschwengers/bakta								
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_257	cds	46914	47939	-	LLPFDG_07965		NADP-specific glutamate dehydrogenase	"SO:0001217, UniRef:UniRef50_A0A0F7Y3V7"
contig_257	cds	48185	48997	+	LLPFDG_07970		Transglut-core2 domain-containing protein	"SO:0001217, UniRef:UniRef50_A0A1Y0KUU0"
contig_257	cds	49004	51487	-	LLPFDG_07975	pknK	Serine/threonine-protein kinase PknK	"SO:0001217, UniRef:UniRef50_A0A127MYS4"
contig_257	cds	51637	53007	-	LLPFDG_07980		DUF1329 domain-containing protein	"SO:0001217, UniRef:UniRef50_W9T2L4"
contig_257	cds	53064	54821	-	LLPFDG_07985		Adhesin	"SO:0001217, UniRef:UniRef50_A0A0S4HSD2"
contig_257	cds	55043	55849	+	LLPFDG_07990	araC	Putative AraC family transcriptional regulator	"SO:0001217, UniRef:UniRef50_S6AZX3"
contig_257	cds	55940	57346	+	LLPFDG_07995		Gamma-glutamylputrescine oxidoreductase	"SO:0001217, UniRef:UniRef50_A0A5E6ZTW2"
contig_257	cds	57381	57725	+	LLPFDG_08000		hypothetical protein	PFAM:PF05899.15
contig_257	cds	57745	58515	-	LLPFDG_08005		Enoyl-CoA hydratase	"SO:0001217, UniRef:UniRef50_E5XS20"
contig_257	cds	58632	59543	-	LLPFDG_08010		Serine/threonine protein kinase	"SO:0001217, UniRef:UniRef50_A0A352KIY0"
contig_257	cds	59659	59952	-	LLPFDG_08015		Transmembrane protein	"SO:0001217, UniRef:UniRef50_A6V1Z7"
contig_257	cds	60051	60947	-	LLPFDG_08020		"2-hydroxy-6-oxo-6-(2'-aminophenyl)hexa-2, 4-dienoic acid hydrolase"	"SO:0001217, UniRef:UniRef50_A0A5E7U946"
contig_257	cds	60944	61723	-	LLPFDG_08025		Aldolase-II domain-containing protein	"SO:0001217, UniRef:UniRef50_Q3IEY1"
contig_257	cds	61852	62538	-	LLPFDG_08030	lrgB	LrgB family protein	"SO:0001217, UniRef:UniRef50_A0A0U1PWV2"
contig_257	cds	62525	62914	-	LLPFDG_08035	cidA	Holin-like protein CidA	"SO:0001217, UniRef:UniRef50_A0A423P0I1"
contig_257	cds	63010	63903	+	LLPFDG_08040		HTH lysR-type domain-containing protein	"SO:0001217, UniRef:UniRef50_A0A024HND4"
contig_257	cds	64143	64595	-	LLPFDG_08045		Uncharacterized protein PA3435	"SO:0001217, UniRef:UniRef50_Q9HYH1"
contig_257	cds	64875	65432	+	LLPFDG_08050		ABM domain-containing protein	"SO:0001217, UniRef:UniRef50_A0A318JKW4"
contig_257	cds	65543	66247	+	LLPFDG_08055	folM	Dihydrofolate reductase folM	"SO:0001217, UniRef:UniRef50_A0A072ZQB2"
contig_257	cds	66265	66825	+	LLPFDG_08060		GTP cyclohydrolase 1	"SO:0001217, UniRef:UniRef50_A0A6F8T8Y8"
contig_257	cds	66827	67198	+	LLPFDG_08065		"D-erythro-7,8-dihydroneopterin triphosphate epimerase"	"SO:0001217, UniRef:UniRef50_A0A2X3GEE0"
contig_257	cds	67327	67638	+	LLPFDG_08070		DUF1244 domain-containing protein	"SO:0001217, UniRef:UniRef50_A0A0S9CBQ9"
contig_257	cds	67690	68028	+	LLPFDG_08075	hopJ	HopJ type III effector protein	"SO:0001217, UniRef:UniRef50_C3K1W8"
contig_257	cds	68208	68423	-	LLPFDG_08080		Mop domain-containing protein	"SO:0001217, UniRef:UniRef50_A0A024HFM4"
contig_257	cds	68464	69288	-	LLPFDG_08085		Aliphatic sulfonate ABC transporter ATP-binding protein	"SO:0001217, UniRef:UniRef50_A0A1S1HQ30"
contig_257	cds	69285	70073	-	LLPFDG_08090		ABC transmembrane type-1 domain-containing protein	"SO:0001217, UniRef:UniRef50_U7NFC3"
contig_257	cds	70094	71242	-	LLPFDG_08095		Alkanesulfonate monooxygenase	"SO:0001217, UniRef:UniRef50_Q8FJ93"
contig_257	cds	71320	72291	-	LLPFDG_08100		PBPb domain-containing protein	"SO:0001217, UniRef:UniRef50_A0A498RPX0"
contig_257	cds	72410	73003	-	LLPFDG_08105		NADPH-dependent FMN reductase	"SO:0001217, UniRef:UniRef50_A0A7G9RRH3"
contig_257	cds	73157	73906	-	LLPFDG_08110	ssuB	Aliphatic sulfonates import ATP-binding protein SsuB 2	"SO:0001217, UniRef:UniRef50_Q39LW7"
contig_257	cds	73903	74727	-	LLPFDG_08115		ABC transmembrane type-1 domain-containing protein	"SO:0001217, UniRef:UniRef50_N8WUD8"
contig_257	cds	74731	75735	-	LLPFDG_08120		PBPb domain-containing protein	"SO:0001217, UniRef:UniRef50_F0KHS8"
contig_257	cds	75986	76624	-	LLPFDG_08125		Alkyl hydroperoxide reductase C	"SO:0001217, UniRef:UniRef50_A9IT84"
contig_257	cds	76830	77039	+	LLPFDG_08130		DUF6316 domain-containing protein	"SO:0001217, UniRef:UniRef50_A0A3A6R5M7"
contig_257	cds	77242	78813	+	LLPFDG_08135		putative malate:quinone oxidoreductase	"SO:0001217, UniRef:UniRef50_Q9JXD7"
contig_257	cds	79037	79702	-	LLPFDG_08140		hypothetical protein	
contig_257	cds	79831	81015	-	LLPFDG_08145		3-ketoacyl-CoA thiolase	"SO:0001217, UniRef:UniRef50_A0A157P924"
contig_257	cds	81168	82658	-	LLPFDG_08150		Polyphosphate:AMP phosphotransferase	"SO:0001217, UniRef:UniRef50_Q886D9"
contig_257	cds	82802	84766	+	LLPFDG_08155	mnmC	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC	"SO:0001217, UniRef:UniRef50_A0A5E5R9S6"
contig_257	cds	84867	85619	+	LLPFDG_08160		putative membrane transporter protein	"SO:0001217, UniRef:UniRef50_A0A024HLB2"
contig_257	cds	85862	86335	-	LLPFDG_08165		HTH marR-type domain-containing protein	"SO:0001217, UniRef:UniRef50_A0A024HKM3"
contig_257	cds	86478	88247	+	LLPFDG_08170		Asparagine synthetase (Glutamine amidotransferase) protein	"SO:0001217, UniRef:UniRef50_Q5P0P7"
contig_257	cds	88288	90045	+	LLPFDG_08175		N-acetylglutaminylglutamine synthetase	"SO:0001217, UniRef:UniRef50_A0A2R4VRB7"
contig_257	cds	90042	91238	+	LLPFDG_08180		Deblocking aminopeptidase	"SO:0001217, UniRef:UniRef50_A0A653X2W4"
contig_257	cds	91375	94131	+	LLPFDG_08185		histidine kinase	"SO:0001217, UniRef:UniRef50_A0A241XNF0"
contig_257	cds	94182	94412	+	LLPFDG_08190		UPF0270 protein PFL_4336	"SO:0001217, UniRef:UniRef50_Q4K8K5"
contig_257	cds	94530	95855	-	LLPFDG_08195		Phospholipase	"SO:0001217, UniRef:UniRef50_S6BEK6"
contig_257	cds	96072	97787	+	LLPFDG_08200		MFS domain-containing protein	"SO:0001217, UniRef:UniRef50_A0A1Q8SMU2"
contig_257	cds	97858	99198	-	LLPFDG_08205	rhlE	ATP-dependent RNA helicase RhlE	"SO:0001217, UniRef:UniRef50_A0A423P150"
contig_257	cds	99384	100751	+	LLPFDG_08210	naiP	Putative niacin/nicotinamide transporter NaiP	"SO:0001217, UniRef:UniRef50_A0A1U7MGA5"
contig_257	cds	100918	102246	+	LLPFDG_08215	ybdG	Miniconductance mechanosensitive channel YbdG	"SO:0001217, UniRef:UniRef50_A0A7V8JQ65"
contig_257	cds	102264	102806	+	LLPFDG_08220		Dihydrofolate reductase	"SO:0001217, UniRef:UniRef50_A0A127MXF5"
contig_257	cds	102803	103261	+	LLPFDG_08225		Nudix hydrolase domain-containing protein	"SO:0001217, UniRef:UniRef50_N2IQI2"
contig_257	cds	103383	105077	-	LLPFDG_08230		NAD-dependent malic enzyme	"SO:0001217, UniRef:UniRef50_A0KHR8"
contig_257	cds	105534	106130	+	LLPFDG_08235	mepH	Murein DD-endopeptidase MepH	"SO:0001217, UniRef:UniRef50_A0A127MX49"
contig_257	cds	106151	107050	-	LLPFDG_08240	rarD	Chloramphenicol-sensitive protein RarD	"SO:0001217, UniRef:UniRef50_O68827"
contig_257	cds	107047	107907	-	LLPFDG_08245		Carboxylate/amino acid/amine transporter	"SO:0001217, UniRef:UniRef50_A0A2C9EIA6"
contig_257	cds	108001	108807	-	LLPFDG_08250		Arogenate dehydratase	"SO:0001217, UniRef:UniRef50_A0A0K1ZIP0"
contig_257	cds	108962	109567	-	LLPFDG_08255	rhlI	acyl-homoserine-lactone synthase	"BlastRules:WP_003113896, EC:2.3.1.184, SO:0001217, UniRef:UniRef50_A0A1B1FMK1"
contig_257	cds	109747	109902	-	LLPFDG_08260		hypothetical protein	PFAM:PF00196.22
contig_257	cds	109857	110471	-	LLPFDG_08265		hypothetical protein	PFAM:PF03472.18
contig_257	cds	110596	111876	-	LLPFDG_08270	rhlB	rhamnosyltransferase chain B	"VFDB:VFC0258, VFDB:VFG000155"
contig_257	cds	111942	112829	-	LLPFDG_08275	rhlA	3-(3-hydroxydecanoyloxy)decanoate synthase	"BlastRules:WP_003113897, EC:2.3.1.-, SO:0001217, UniRef:UniRef50_Q51559"
contig_257	ncRNA-region	112823	112932	-			RhlA 5' UTR ROSE like thermometer	"RFAM:RF02758, SO:0002168"
contig_257	cds	113253	113819	-	LLPFDG_08280		dCTP deaminase	"SO:0001217, UniRef:UniRef50_A7ZFS7"
contig_257	cds	113920	115014	-	LLPFDG_08285		Iron-sulfur cluster carrier protein	"SO:0001217, UniRef:UniRef50_A0A119A133"
contig_257	cds	115145	117181	+	LLPFDG_08290		Methionine--tRNA ligase	"SO:0001217, UniRef:UniRef50_A0A0E2GHN6"
contig_257	cds	117215	118015	+	LLPFDG_08295		DUF4349 domain-containing protein	"SO:0001217, UniRef:UniRef50_A0A3M5D8U9"
contig_257	cds	118102	119328	+	LLPFDG_08300	tse3	type VI secretion system effector muramidase Tse3	"BlastRules:WP_003092026, SO:0001217, UniRef:UniRef50_Q9HYC5"
contig_257	cds	119325	119762	+	LLPFDG_08305	tsi3	T6SS effector muramidase immunity protein Tsi3	"BlastRules:WP_003113900, SO:0001217, UniRef:UniRef50_Q9HYC4"
contig_257	cds	120057	122483	+	LLPFDG_08310	vgrG1	Actin cross-linking toxin VgrG1	"SO:0001217, UniRef:UniRef50_A0A5E7WHY4"
contig_257	cds	122487	125786	+	LLPFDG_08315	pldA	phospholipase D	"BlastRules:WP_003112916, SO:0001217, UniRef:UniRef50_A0A8F9K0Y8"
contig_257	cds	125879	126913	+	LLPFDG_08320		Tli4-C domain-containing protein	"SO:0001217, UniRef:UniRef50_A0A6A9KBN8"
contig_257	cds	127091	127675	+	LLPFDG_08325		Ion-translocating oxidoreductase complex subunit A	"SO:0001217, UniRef:UniRef50_P0CZ13"
contig_257	cds	127672	128238	+	LLPFDG_08330		Ion-translocating oxidoreductase complex subunit B	"SO:0001217, UniRef:UniRef50_A4VIV5"
contig_257	cds	128235	130559	+	LLPFDG_08335		Ion-translocating oxidoreductase complex subunit C	"SO:0001217, UniRef:UniRef50_Q9HYB8"
contig_257	cds	130562	131596	+	LLPFDG_08340		Ion-translocating oxidoreductase complex subunit D	"SO:0001217, UniRef:UniRef50_A0A379II99"
contig_257	cds	131596	132240	+	LLPFDG_08345		Ion-translocating oxidoreductase complex subunit G	"SO:0001217, UniRef:UniRef50_A0A5C8ZWN8"
contig_257	cds	132233	132949	+	LLPFDG_08350		Ion-translocating oxidoreductase complex subunit E	"SO:0001217, UniRef:UniRef50_A1TZ60"
contig_257	cds	132946	133584	+	LLPFDG_08355		Endonuclease III	"SO:0001217, UniRef:UniRef50_A0A829Z088"
contig_257	cds	133693	133872	+	LLPFDG_08360		Leucyl-tRNA synthetase	"SO:0001217, UniRef:UniRef50_A4XS46"
contig_257	cds	134072	135145	-	LLPFDG_08365		Methyltransferase domain protein	"SO:0001217, UniRef:UniRef50_A0A2R3IZL5"
contig_257	cds	135195	136646	-	LLPFDG_08370		Adenylosuccinate lyase	"SO:0001217, UniRef:UniRef50_A0A109LB46"
contig_257	cds	136646	138079	-	LLPFDG_08375		Adenylosuccinate lyase	"SO:0001217, UniRef:UniRef50_A0A2R4KQ92"
contig_257	cds	138110	139096	-	LLPFDG_08380		HOASN domain-containing protein	"SO:0001217, UniRef:UniRef50_A6V1S8"
contig_257	cds	139129	140166	-	LLPFDG_08385		HOASN domain-containing protein	"SO:0001217, UniRef:UniRef50_A0A069Q6Y1"
contig_257	cds	140567	140761	-	LLPFDG_08390		HMA domain-containing protein	"SO:0001217, UniRef:UniRef50_A0A0P0AEM2"
contig_257	cds	141348	142823	-	LLPFDG_08395	opmE	multidrug efflux transporter outer membrane subunit OpmE	"BlastRules:WP_003112893, SO:0001217, UniRef:UniRef50_A0A485FA55"
contig_257	cds	142820	145981	-	LLPFDG_08400	mexQ	multidrug efflux RND transporter permease subunit MexQ	"BlastRules:WP_116523188, SO:0001217, UniRef:UniRef50_V4PGU7"
contig_257	cds	145978	147135	-	LLPFDG_08405	mexP	multidrug efflux RND transporter periplasmic adaptor subunit MexP	"BlastRules:WP_003119548, SO:0001217, UniRef:UniRef50_A0A7Z2XJB5"
contig_257	cds	147511	147897	+	LLPFDG_08410		lactoylglutathione lyase	"SO:0001217, UniRef:UniRef50_A0A2A7UVZ0"
contig_257	cds	147989	149206	-	LLPFDG_08415		Argininosuccinate synthase	"SO:0001217, UniRef:UniRef50_Q3SHT1"
contig_257	cds	149324	150289	-	LLPFDG_08420	motY	flagellar protein MotY	"BlastRules:WP_003104269, SO:0001217, UniRef:UniRef50_A0A2N7RG52"
contig_257	cds	150422	151468	+	LLPFDG_08425		Dihydroorotase	"SO:0001217, UniRef:UniRef50_Q9K0D1"
contig_257	cds	151465	152139	+	LLPFDG_08430		Ribonuclease T	"SO:0001217, UniRef:UniRef50_A0A1M6CKV0"
contig_257	cds	152318	152920	-	LLPFDG_08435		Alkyl hydroperoxide reductase C	"SO:0001217, UniRef:UniRef50_A0A0B7DH11"
contig_257	cds	153180	153401	+	LLPFDG_08440		Fer2-BFD domain-containing protein	"SO:0001217, UniRef:UniRef50_A0A0F7Y241"
contig_257	cds	153611	154087	+	LLPFDG_08445		Bacterioferritin	"SO:0001217, UniRef:UniRef50_Q59738"
contig_257	cds	154155	155306	-	LLPFDG_08450		Fucose permease	"SO:0001217, UniRef:UniRef50_A0A024HCK3"
contig_257	cds	155389	155715	-	LLPFDG_08455		Glutaredoxin	"SO:0001217, UniRef:UniRef50_A0A378F632"
contig_257	cds	155828	157936	-	LLPFDG_08460		"Oxidoreductase, molybdopterin-binding"	"SO:0001217, UniRef:UniRef50_A4VN57"
contig_257	cds	158235	161222	+	LLPFDG_08465		Autotransporter domain-containing protein	"SO:0001217, UniRef:UniRef50_A0A241XN12"
contig_257	cds	161616	162047	-	LLPFDG_08470		hypothetical protein	
contig_257	cds	162363	163280	+	LLPFDG_08475		"Ornithine carbamoyltransferase, anabolic"	"SO:0001217, UniRef:UniRef50_P11724"
contig_257	cds	163285	164367	+	LLPFDG_08480		ABC transporter ATP-binding protein	"SO:0001217, UniRef:UniRef50_A0A072ZRI4"
contig_257	cds	164474	165253	+	LLPFDG_08485		UPF0246 protein YPN_0334	"SO:0001217, UniRef:UniRef50_Q1CMW4"
contig_257	cds	166155	167465	+	LLPFDG_08490	algD	GDP-mannose 6-dehydrogenase	"BlastRules:WP_003110461, EC:1.1.1.132, SO:0001217, UniRef:UniRef50_P11759"
contig_257	cds	167608	169089	+	LLPFDG_08495	alg8	mannuronan synthase	"BlastRules:WP_003119545, EC:2.4.1.33, SO:0001217, UniRef:UniRef50_Q52463"
contig_257	cds	169172	170341	+	LLPFDG_08500	alg44	alginate biosynthesis protein Alg44	"BlastRules:WP_003092101, SO:0001217, UniRef:UniRef50_Q887Q0"
contig_257	cds	170355	171782	+	LLPFDG_08505	algK	alginate biosynthesis TPR repeat lipoprotein AlgK	"BlastRules:WP_003112887, SO:0001217, UniRef:UniRef50_P94202"
contig_257	cds	171779	173251	+	LLPFDG_08510	algE	outer membrane porin AlgE	"BlastRules:WP_003092105, SO:0001217, UniRef:UniRef50_P18895"
contig_257	cds	173272	174903	+	LLPFDG_08515	algE	outer membrane protein AlgE	"SO:0001217, UniRef:UniRef50_Q887Q3, VFDB:VFC0271, VFDB:VFG000127"
contig_257	cds	174916	176340	+	LLPFDG_08520	algX	alginate biosynthesis protein AlgX	"BlastRules:WP_003112885, SO:0001217, UniRef:UniRef50_Q51372"
contig_257	cds	176344	177447	+	LLPFDG_08525	algL	alginate biosynthesis protein AlgL	"BlastRules:WP_003092108, SO:0001217, UniRef:UniRef50_Q9L7P2"
contig_257	cds	177689	179251	+	LLPFDG_08530	algI	alginate o-acetyltransferase AlgI	"SO:0001217, UniRef:UniRef50_O52196, VFDB:VFC0271, VFDB:VFG000130"
contig_257	cds	179266	180441	+	LLPFDG_08535	algJ	alginate O-acetyltransferase	"BlastRules:WP_003092111, SO:0001217, UniRef:UniRef50_Q51393"
contig_257	cds	180514	181164	+	LLPFDG_08540	algF	alginate o-acetyltransferase AlgF	"SO:0001217, UniRef:UniRef50_A0A679GME0, VFDB:VFC0271, VFDB:VFG000132"
contig_257	cds	181361	182806	+	LLPFDG_08545	algA	phosphomannose isomerase / guanosine 5'-diphospho-D-mannose pyrophosphorylase	"SO:0001217, UniRef:UniRef50_A0A2E6JA56, VFDB:VFC0271, VFDB:VFG000133"
contig_257	cds	183194	184342	+	LLPFDG_08550		UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase	"SO:0001217, UniRef:UniRef50_A0A024HNP3"
contig_257	cds	184339	185358	+	LLPFDG_08555		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase	"SO:0001217, UniRef:UniRef50_Q7N3Q6"
contig_257	cds	185355	187343	+	LLPFDG_08560	arnA	Bifunctional polymyxin resistance protein ArnA	"SO:0001217, UniRef:UniRef50_O52325"
contig_257	cds	187340	188227	+	LLPFDG_08565	arnD	putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD	"SO:0001217, UniRef:UniRef50_Q6D2F2"
contig_257	cds	188224	189873	+	LLPFDG_08570		Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase	"SO:0001217, UniRef:UniRef50_Q9HY61"
contig_257	cds	189870	190217	+	LLPFDG_08575	arnE	putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE	"SO:0001217, UniRef:UniRef50_Q4KC79"
contig_257	cds	190214	190627	+	LLPFDG_08580		hypothetical protein	
contig_257	cds	190624	192018	+	LLPFDG_08585		UDP-glucose 6-dehydrogenase	"BlastRules:WP_003112875, EC:1.1.1.22, SO:0001217, UniRef:UniRef50_A0A068QT10"
contig_257	cds	192171	193928	-	LLPFDG_08590		PTS fructose transporter subunit IIBC	"SO:0001217, UniRef:UniRef50_A0A0G4QRR6"
contig_257	cds	193930	194874	-	LLPFDG_08595		1-phosphofructokinase	"SO:0001217, UniRef:UniRef50_A0A090BX65"
contig_257	cds	194874	197744	-	LLPFDG_08600		Phosphoenolpyruvate-protein phosphotransferase	"SO:0001217, UniRef:UniRef50_A0A643IV37"
contig_257	cds	198072	199061	+	LLPFDG_08605	fruR	Fructose transport system repressor FruR	"SO:0001217, UniRef:UniRef50_S6AP28"
contig_257	cds	199072	199851	+	LLPFDG_08610	tatD	Hydrolase TatD	"SO:0001217, UniRef:UniRef50_M4WS26"
contig_257	cds	199852	200154	-	LLPFDG_08615		Barstar	"SO:0001217, UniRef:UniRef50_A0A0C7CW64"
contig_257	cds	200139	201059	-	LLPFDG_08620		HTH lysR-type domain-containing protein	"SO:0001217, UniRef:UniRef50_A0A3M5D576"
contig_257	cds	201155	201448	+	LLPFDG_08625		Antibiotic biosynthesis monooxygenase	"SO:0001217, UniRef:UniRef50_A0A072ZQT3"
contig_257	cds	201470	202483	+	LLPFDG_08630		Zinc-type alcohol dehydrogenase-like protein	"SO:0001217, UniRef:UniRef50_A0A4V3ZP52"
contig_257	cds	202541	204427	-	LLPFDG_08635		Uncharacterized protein PA3568	"SO:0001217, UniRef:UniRef50_P28812"
contig_257	cds	204529	205425	-	LLPFDG_08640		3-hydroxyisobutyrate dehydrogenase	"SO:0001217, UniRef:UniRef50_A0A363RCY7"
contig_257	cds	205441	206934	-	LLPFDG_08645		Methylmalonate-semialdehyde dehydrogenase [acylating]	"SO:0001217, UniRef:UniRef50_P28810"
contig_257	cds	207066	207989	+	LLPFDG_08650	mmsR	MmsAB operon transcriptional regulator MmsR	"BlastRules:WP_003122160, SO:0001217, UniRef:UniRef50_P28809"
contig_257	cds	208116	208292	+	LLPFDG_08655		hypothetical protein	
contig_257	cds	208300	209478	-	LLPFDG_08660		Bcr/CflA family efflux transporter	"SO:0001217, UniRef:UniRef50_A0A5E6TRX5"
contig_257	cds	209844	210482	+	LLPFDG_08665	nalD	efflux system transcriptional repressor NalD	"BlastRules:WP_003092152, SO:0001217, UniRef:UniRef50_S6AWL7"
contig_257	cds	210461	210658	-	LLPFDG_08670		HMA domain-containing protein	"SO:0001217, UniRef:UniRef50_A0A3M6H6G7"
contig_257	cds	210841	211371	+	LLPFDG_08675		Ni-hydr-CYTB domain-containing protein	"SO:0001217, UniRef:UniRef50_F6AFX5"
contig_257	cds	211471	211893	+	LLPFDG_08680		META domain-containing protein	"SO:0001217, UniRef:UniRef50_A0A024HNS6"
contig_257	cds	213241	214026	-	LLPFDG_08685		Uncharacterized isomerase PA3578	"SO:0001217, UniRef:UniRef50_Q9HY42"
contig_257	cds	214222	215706	-	LLPFDG_08690		Glycerol kinase	"SO:0001217, UniRef:UniRef50_Q2RST6"
contig_257	cds	215770	216240	-	LLPFDG_08695	ybaK	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK	"SO:0001217, UniRef:UniRef50_P0AAR3"
contig_257	cds	216505	217344	+	LLPFDG_08700		Glycerol uptake facilitator protein	"SO:0001217, UniRef:UniRef50_Q51389"
contig_257	cds	217384	218901	+	LLPFDG_08705		Glycerol kinase	"SO:0001217, UniRef:UniRef50_Q87XL0"
contig_257	cds	219107	219862	+	LLPFDG_08710		Glycerol-3-phosphate regulon repressor	"SO:0001217, UniRef:UniRef50_Q51391"
contig_257	cds	220141	221679	+	LLPFDG_08715		Glycerol-3-phosphate dehydrogenase	"SO:0001217, UniRef:UniRef50_P52111"
contig_257	cds	221812	222141	+	LLPFDG_08720	glpM	GlpM family protein	"SO:0001217, UniRef:UniRef50_A0A1W6BAM9"
contig_257	cds	222158	223144	-	LLPFDG_08725		3-oxoadipate enol-lactonase 2	"SO:0001217, UniRef:UniRef50_A0A5E5R6F8"
contig_257	cds	223443	224363	+	LLPFDG_08730	metR	transcriptional regulator MetR	"BlastRules:WP_003092181, SO:0001217, UniRef:UniRef50_D0KW86"
contig_257	cds	224369	225619	-	LLPFDG_08735		Putative porin	"SO:0001217, UniRef:UniRef50_A0A485FAU5"
contig_257	cds	225672	226877	-	LLPFDG_08740		3-oxoadipyl-CoA thiolase	"SO:0001217, UniRef:UniRef50_F5L9H0"
contig_257	cds	226900	228432	-	LLPFDG_08745		3-hydroxyadipyl-CoA dehydrogenase	"SO:0001217, UniRef:UniRef50_A0A127MK12"
contig_257	cds	228429	229226	-	LLPFDG_08750		Enoyl-CoA hydratase-isomerase	"SO:0001217, UniRef:UniRef50_A0A090FUY1"
contig_257	cds	229286	230473	-	LLPFDG_08755		L-carnitine dehydratase/bile acid-inducible protein F	"SO:0001217, UniRef:UniRef50_A0A1X6XFT2"
contig_257	cds	230512	232239	-	LLPFDG_08760		DNA alkylation response protein	"SO:0001217, UniRef:UniRef50_A0A0F6LA57"
contig_257	cds	232353	233240	+	LLPFDG_08765		hypothetical protein	PFAM:PF00126.30
contig_257	cds	233459	234868	+	LLPFDG_08770		MFS domain-containing protein	"SO:0001217, UniRef:UniRef50_A0A498RG01"
contig_257	cds	234865	235938	-	LLPFDG_08775		Methylated-DNA--protein-cysteine methyltransferase	"SO:0001217, UniRef:UniRef50_C6C5M5"
contig_257	cds	236028	237350	-	LLPFDG_08780	puuP	Putrescine importer PuuP	"SO:0001217, UniRef:UniRef50_A0A024HIX0"
contig_257	cds	237550	238365	-	LLPFDG_08785		(R)-stereoselective amidase	"SO:0001217, UniRef:UniRef50_Q75SP7"
contig_257	cds	238493	239278	+	LLPFDG_08790		HTH luxR-type domain-containing protein	"SO:0001217, UniRef:UniRef50_N2INB0"
contig_257	cds	239306	239458	-	LLPFDG_08795		50S ribosomal protein L36	"SO:0001217, UniRef:UniRef50_B3EUK0"
contig_257	cds	239458	239721	-	LLPFDG_08800		50S ribosomal protein L31 type B	"SO:0001217, UniRef:UniRef50_Q6FEZ1"
contig_257	cds	239965	241575	+	LLPFDG_08805		Glutamate synthase [NADPH] large chain	"SO:0001217, UniRef:UniRef50_A0A1Y5TF80"
contig_257	cds	241645	242016	-	LLPFDG_08810		Diacylglycerol kinase	"SO:0001217, UniRef:UniRef50_A0A0B7D411"
contig_257	cds	242088	242741	-	LLPFDG_08815		DNA-binding response regulator	"SO:0001217, UniRef:UniRef50_A0A1Y1R281"
contig_257	cds	242907	243800	+	LLPFDG_08820	eamA	EamA family transporter	"SO:0001217, UniRef:UniRef50_W6RIL4"
contig_257	cds	243804	244520	-	LLPFDG_08825		tRNA-uridine aminocarboxypropyltransferase	"SO:0001217, UniRef:UniRef50_A0A2C9EHC8"
contig_257	cds	244779	245870	+	LLPFDG_08830	potA	Spermidine/putrescine import ATP-binding protein PotA	"SO:0001217, UniRef:UniRef50_Q82TL6"
contig_257	cds	245875	246768	+	LLPFDG_08835		ABC transmembrane type-1 domain-containing protein	"SO:0001217, UniRef:UniRef50_U3GCD2"
contig_257	cds	246761	247531	+	LLPFDG_08840		Ornithine carbamoyltransferase	"SO:0001217, UniRef:UniRef50_C7RTX6"
contig_257	cds	247623	248684	+	LLPFDG_08845		Putrescine/cadaverine-binding protein	"SO:0001217, UniRef:UniRef50_Q9HY16"
contig_257	cds	248860	249270	+	LLPFDG_08850		Quorum-sensing-regulated virulence factor	"SO:0001217, UniRef:UniRef50_A0A010SV10"
contig_257	cds	249289	249510	+	LLPFDG_08855		Cytoplasmic protein	"SO:0001217, UniRef:UniRef50_V5ZAF2"
contig_257	cds	249634	252039	-	LLPFDG_08860		Phosphoketolase	"SO:0001217, UniRef:UniRef50_A0A3S4ZPX3"
contig_257	cds	252219	253622	+	LLPFDG_08865		MBL fold metallo-hydrolase	"SO:0001217, UniRef:UniRef50_A0A024HDL3"
contig_257	cds	253705	254775	+	LLPFDG_08870		AMP nucleosidase	"SO:0001217, UniRef:UniRef50_A0A2V2A8A1"
contig_257	cds	254797	255258	-	LLPFDG_08875	recX	Regulatory protein RecX	"SO:0001217, UniRef:UniRef50_Q87XY8"
contig_257	cds	255264	256304	-	LLPFDG_08880	recA	Protein RecA	"SO:0001217, UniRef:UniRef50_P42438"
contig_257	cds	256438	256944	-	LLPFDG_08885	pncC	Nicotinamide-nucleotide amidohydrolase PncC	"SO:0001217, UniRef:UniRef50_A0A1X7AQW3"
contig_257	cds	257092	258099	+	LLPFDG_08890		TolB-like translocation protein	"SO:0001217, UniRef:UniRef50_A0A3M5DF32"
contig_257	cds	258225	260792	+	LLPFDG_08895	mutS	DNA mismatch repair protein MutS	"SO:0001217, UniRef:UniRef50_Q9HY08"
contig_257	cds	260859	261182	+	LLPFDG_08900		Ferredoxin-1	"SO:0001217, UniRef:UniRef50_P00214"
contig_257	ncRNA	261242	261360	-	LLPFDG_08905	PrrB_RsmZ	PrrB/RsmZ RNA family	"RFAM:RF00166, SO:0000655"
