# Annotated with Bakta
# Software: v1.11.3
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_908	cds	101532	102809	-	MDNEJI_02047	568.0	2.7e-200	0.993	0.816	0.694	UniRef:UniRef50_A0A137SDL3
contig_908	cds	103064	104419	+	MDNEJI_02048	612.0	9.2e-218	1.0	0.922	0.712	UniRef:UniRef50_A0A7W7DMA2
contig_908	cds	104530	105531	-	MDNEJI_02049	574.0	8.3e-207	0.988	0.951	0.897	UniRef:UniRef50_A0A069QAQ4
contig_908	cds	105792	106649	+	MDNEJI_02050	327.0	6.5e-111	0.940	0.882	0.590	UniRef:UniRef50_A0A3M5TWW8
contig_908	cds	106696	107037	+	MDNEJI_02051	163.0	1.0e-51	0.885	0.943	0.800	UniRef:UniRef50_C1DLM5
contig_908	cds	107034	107783	+	MDNEJI_02052	-	-	-	-	-	-
contig_908	cds	107849	108469	+	MDNEJI_02053	234.0	9.8e-77	1.024	1.024	0.616	UniRef:UniRef50_A0A3M5DD16
contig_908	cds	108454	109389	-	MDNEJI_02054	293.0	9.8e-97	0.891	0.829	0.545	UniRef:UniRef50_A0A8J3FWV5
contig_908	cds	109520	110083	+	MDNEJI_02055	234.0	3.4e-77	1.118	1.015	0.694	UniRef:UniRef50_A0A3M5DD16
contig_908	cds	110085	110567	+	MDNEJI_02056	325.0	5.8e-114	1.0	0.879	0.988	UniRef:UniRef50_Q9HV14
contig_908	cds	110557	110934	+	MDNEJI_02057	177.0	7.0e-57	0.992	0.912	0.774	UniRef:UniRef50_A4VFW3
contig_908	cds	110931	111398	+	MDNEJI_02058	239.0	2.3e-80	0.974	0.938	0.755	UniRef:UniRef50_Q9HV12
contig_908	cds	111515	112243	+	MDNEJI_02059	488.0	5.3e-176	0.988	0.934	0.996	UniRef:UniRef50_Q9HV11
contig_908	cds	112266	112844	-	MDNEJI_02060	272.0	3.0e-92	0.922	0.881	0.718	UniRef:UniRef50_B1KB65
contig_908	cds	112841	113641	-	MDNEJI_02061	292.0	1.2e-97	0.977	0.900	0.550	UniRef:UniRef50_A0A2N7R2I3
contig_908	cds	113937	114377	-	MDNEJI_02062	-	-	-	-	-	-
contig_908	cds	114568	115290	+	MDNEJI_02063	254.0	3.9e-83	0.967	0.853	0.573	UniRef:UniRef50_A0A0C5E784
contig_908	tRNA	115331	115426	-	MDNEJI_02064	135.0	-	-	-	-	-
contig_908	cds	115558	116175	-	MDNEJI_02065	246.0	2.4e-81	0.976	0.851	0.605	UniRef:UniRef50_A0A9P1VYN6
contig_908	cds	116270	117667	-	MDNEJI_02066	808.0	4.2e-295	0.905	0.875	0.986	UniRef:UniRef50_A0A1B8NYH6
contig_908	cds	117716	119122	-	MDNEJI_02067	595.0	7.1e-211	0.966	0.934	0.628	UniRef:UniRef50_A0A0R2TY17
contig_908	cds	119269	120087	+	MDNEJI_02068	307.0	3.1e-103	0.960	0.859	0.602	UniRef:UniRef50_U1ZIU0
contig_908	cds	120091	122016	-	MDNEJI_02069	841.0	1.1e-300	0.939	0.805	0.716	UniRef:UniRef50_A0A385Z9N6
contig_908	cds	122013	123419	-	MDNEJI_02070	475.0	2.2e-162	0.966	0.816	0.604	UniRef:UniRef50_A1JT25
contig_908	cds	123498	124427	-	MDNEJI_02071	299.0	3.1e-99	1.023	0.988	0.516	UniRef:UniRef50_A0A2T1KT78
contig_908	cds	124560	125186	-	MDNEJI_02072	213.0	7.5e-68	0.938	0.806	0.523	UniRef:UniRef50_A0A2R8CGM4
contig_908	cds	125258	126187	-	MDNEJI_02073	328.0	1.6e-111	0.922	1.149	0.565	UniRef:UniRef50_A0A433ZWY7
contig_908	cds	126196	129276	-	MDNEJI_02074	1446.0	0.0	1.001	0.963	0.666	UniRef:UniRef50_P24183
contig_908	ncRNA-region	128633	128691	-	-	86.0	2.0e-13	-	-	-	RFAM:RF01989
contig_908	cds	129584	130513	-	MDNEJI_02075	317.0	6.3e-106	0.955	0.870	0.542	UniRef:UniRef50_P26876
contig_908	cds	130873	132918	+	MDNEJI_02076	779.0	1.0e-276	0.994	0.988	0.607	UniRef:UniRef50_A7MZX0
contig_908	cds	133127	133576	+	MDNEJI_02077	209.0	1.9e-68	1.0	0.866	0.698	UniRef:UniRef50_Q9HUZ5
contig_908	cds	133733	134968	+	MDNEJI_02078	816.0	8.7e-300	0.995	0.913	0.993	UniRef:UniRef50_A0A172Z3D6
contig_908	cds	134944	135438	+	MDNEJI_02079	332.0	8.6e-117	0.994	0.896	0.994	UniRef:UniRef50_Q9HUZ3
contig_908	cds	135441	136877	-	MDNEJI_02080	461.0	1.4e-157	1.040	0.978	0.511	UniRef:UniRef50_Q9HUZ2
contig_908	cds	136874	137848	-	MDNEJI_02081	301.0	3.3e-99	0.954	0.835	0.531	UniRef:UniRef50_A0A3R8S421
contig_908	cds	137845	138207	-	MDNEJI_02082	217.0	1.0e-72	0.975	0.886	0.991	UniRef:UniRef50_Q9HUZ0
contig_908	cds	138444	139805	+	MDNEJI_02083	580.0	2.7e-204	0.982	0.820	0.703	UniRef:UniRef50_A0A3M5V510
contig_908	cds	139781	140149	-	MDNEJI_02084	210.0	1.7e-69	1.008	0.804	0.878	UniRef:UniRef50_A0A0H2ZHU1
contig_908	cds	140137	141804	-	MDNEJI_02085	588.0	4.3e-205	0.973	0.928	0.637	UniRef:UniRef50_A0A0C5E8J8
contig_908	cds	141847	142056	-	MDNEJI_02086	-	-	-	-	-	-
contig_908	cds	142107	142883	-	MDNEJI_02087	248.0	1.8e-80	0.965	0.856	0.518	UniRef:UniRef50_A0A6I1L3E0
contig_908	cds	142981	145692	-	MDNEJI_02088	1107.0	0.0	0.977	0.923	0.649	UniRef:UniRef50_A0A6L6IGZ7
contig_908	cds	145919	146137	-	MDNEJI_02089	119.0	1.4e-35	0.903	0.833	0.954	UniRef:UniRef50_Q9HUY4
contig_908	cds	146284	146418	-	MDNEJI_02090	-	-	-	-	-	-
contig_908	cds	146467	147306	-	MDNEJI_02091	561.0	1.3e-203	1.0	0.933	0.993	UniRef:UniRef50_A0A024HPV4
contig_908	cds	147431	147886	+	MDNEJI_02092	178.0	2.8e-56	0.993	0.943	0.627	UniRef:UniRef50_Q9HUY2
contig_908	cds	147891	149291	-	MDNEJI_02093	704.0	8.6e-254	0.996	0.941	0.752	UniRef:UniRef50_Q9HUY1
contig_908	cds	149466	150005	+	MDNEJI_02094	289.0	3.9e-99	1.0	0.927	0.743	UniRef:UniRef50_Q9HUY0
contig_908	cds	150073	150633	+	MDNEJI_02095	200.0	1.1e-63	0.968	0.870	0.567	UniRef:UniRef50_A0A5E7FCN0
contig_908	cds	150638	151435	-	MDNEJI_02096	270.0	5.6e-89	0.966	0.880	0.582	UniRef:UniRef50_G9AH70
contig_908	cds	151666	152283	+	MDNEJI_02097	295.0	3.0e-100	1.005	0.817	0.694	UniRef:UniRef50_Q9HUX7
contig_908	cds	152329	153183	-	MDNEJI_02098	379.0	5.5e-131	0.993	0.844	0.713	UniRef:UniRef50_Q9HUX6
contig_908	cds	153165	154466	-	MDNEJI_02099	-	-	-	-	-	-
contig_908	cds	154463	155254	-	MDNEJI_02100	504.0	9.8e-182	1.046	1.0	0.938	UniRef:UniRef50_A0A0H2ZHV3
contig_908	cds	155284	157410	-	MDNEJI_02101	787.0	1.2e-277	1.001	0.882	0.584	UniRef:UniRef50_A0A0H2ZI93
contig_908	cds	157552	158706	+	MDNEJI_02102	526.0	2.4e-185	0.979	0.823	0.684	UniRef:UniRef50_A0A0Q5MZC0
contig_908	cds	158958	160868	-	MDNEJI_02103	988.0	0.0	0.995	0.991	0.768	UniRef:UniRef50_G4CTT6
contig_908	cds	161119	161490	-	MDNEJI_02104	198.0	6.7e-65	1.0	0.804	0.772	UniRef:UniRef50_A0A7C2SE15
contig_908	cds	161694	162230	-	MDNEJI_02105	240.0	5.8e-80	0.983	0.956	0.709	UniRef:UniRef50_Q9HUW9
contig_908	cds	162234	163304	-	MDNEJI_02106	621.0	2.7e-224	1.0	0.892	0.857	UniRef:UniRef50_A0A089YVI8
contig_908	cds	163348	163479	+	MDNEJI_02107	-	-	-	-	-	-
contig_908	cds	163657	165285	+	MDNEJI_02108	753.0	1.4e-270	0.980	0.945	0.723	UniRef:UniRef50_A0AA35I6A7
contig_908	cds	165363	167336	+	MDNEJI_02109	613.0	8.9e-211	1.0	0.880	0.577	UniRef:UniRef50_Q9HUW6
contig_908	cds	167496	169271	+	MDNEJI_02110	731.0	5.7e-260	0.990	0.921	0.679	UniRef:UniRef50_A0A1V0B4M8
contig_908	cds	169415	169858	+	MDNEJI_02111	164.0	1.0e-50	1.014	0.876	0.597	UniRef:UniRef50_B1KR25
contig_908	cds	169882	170352	+	MDNEJI_02112	250.0	1.1e-84	1.0	0.929	1.0	UniRef:UniRef50_P37799
contig_908	cds	170370	171719	+	MDNEJI_02113	703.0	2.2e-253	0.996	0.896	0.765	UniRef:UniRef50_A0A2D8RB06
contig_908	cds	171830	172696	+	MDNEJI_02114	519.0	1.6e-186	0.997	0.923	0.997	UniRef:UniRef50_Q9HUW4
contig_908	cds	172777	173661	+	MDNEJI_02115	337.0	2.1e-114	1.003	0.970	0.563	UniRef:UniRef50_Q2S9L7
contig_908	cds	173757	175031	+	MDNEJI_02116	470.0	9.9e-162	1.231	1.022	0.550	UniRef:UniRef50_A0A653XK40
contig_908	cds	175235	176233	+	MDNEJI_02117	393.0	1.1e-134	0.943	0.803	0.620	UniRef:UniRef50_A0A1G8MEK0
contig_908	cds	176230	176553	+	MDNEJI_02118	134.0	1.8e-40	0.888	0.856	0.747	UniRef:UniRef50_A0A420E7G4
contig_908	cds	176633	178240	+	MDNEJI_02119	756.0	1.2e-272	1.002	1.019	0.733	UniRef:UniRef50_A0A484YAE3
contig_908	cds	178344	179633	+	MDNEJI_02120	566.0	3.6e-200	1.117	0.996	0.643	UniRef:UniRef50_P15640
contig_908	cds	179737	182565	+	MDNEJI_02121	959.0	0.0	0.969	0.835	0.579	UniRef:UniRef50_A0A0D0SHE4
contig_908	cds	183021	183614	+	MDNEJI_02122	276.0	1.5e-93	1.005	0.995	0.753	UniRef:UniRef50_S6AJ96
contig_908	cds	184039	185304	+	MDNEJI_02123	550.0	1.2e-194	0.910	0.923	0.687	UniRef:UniRef50_A0A4P6KY06
contig_908	cds	185451	187040	+	MDNEJI_02124	651.0	3.0e-231	0.962	0.968	0.715	UniRef:UniRef50_A0A2S5CEI9
contig_908	cds	187037	188116	+	MDNEJI_02125	449.0	1.4e-156	0.961	0.938	0.658	UniRef:UniRef50_A8AGS9
contig_908	cds	188113	188970	+	MDNEJI_02126	447.0	1.2e-157	0.989	0.806	0.823	UniRef:UniRef50_A0A105Z7Z4
contig_908	cds	189107	189805	+	MDNEJI_02127	391.0	2.4e-137	1.0	0.847	0.841	UniRef:UniRef50_W9B7Y2
contig_908	cds	189889	190341	+	MDNEJI_02128	-	-	-	-	-	-
contig_908	cds	190350	191192	+	MDNEJI_02129	535.0	1.3e-193	1.0	1.053	0.943	UniRef:UniRef50_UPI000FC42973
contig_908	cds	191194	191496	+	MDNEJI_02130	134.0	1.5e-40	0.980	0.852	0.735	UniRef:UniRef50_O87400
contig_908	cds	191505	192023	+	MDNEJI_02131	225.0	6.0e-74	0.988	0.867	0.659	UniRef:UniRef50_Q88DH9
contig_908	cds	192040	192345	+	MDNEJI_02132	118.0	5.7e-34	1.020	0.805	0.602	UniRef:UniRef50_P9WFE9
contig_908	cds	192414	194114	+	MDNEJI_02133	877.0	0.0	0.998	0.996	0.766	UniRef:UniRef50_D3SQB8
contig_908	ncRNA	192560	192846	-	MDNEJI_02134	120.0	1.2e-17	-	-	-	RFAM:RF02514
contig_908	cds	194233	195600	+	MDNEJI_02135	880.0	0.0	1.229	1.0	0.814	UniRef:UniRef50_A0AAQ3LJM8
contig_908	cds	195610	195876	-	MDNEJI_02136	140.0	5.4e-43	1.0	0.822	0.739	UniRef:UniRef50_A0A0F6RE87
contig_908	cds	195915	196616	+	MDNEJI_02137	435.0	2.5e-155	1.0	1.0	0.987	UniRef:UniRef50_Q9HUU2
contig_908	cds	196717	197463	+	MDNEJI_02138	479.0	3.3e-172	1.0	0.961	0.996	UniRef:UniRef50_A0A6A9K4T9
contig_908	cds	197470	198300	-	MDNEJI_02139	425.0	3.4e-149	1.004	0.852	0.787	UniRef:UniRef50_Q9HUU1
contig_908	cds	198541	199806	+	MDNEJI_02140	457.0	1.9e-157	0.986	0.891	0.540	UniRef:UniRef50_N2JPU6
contig_908	cds	199981	200397	-	MDNEJI_02141	-	-	-	-	-	-
contig_908	cds	200552	201091	+	MDNEJI_02142	223.0	5.1e-73	0.983	0.931	0.648	UniRef:UniRef50_A0A1M5EYL0
contig_908	cds	201180	201524	+	MDNEJI_02143	155.0	4.2e-48	1.009	0.852	0.635	UniRef:UniRef50_Q9HUT7
contig_908	cds	201568	201975	-	MDNEJI_02144	142.0	1.1e-42	1.030	1.015	0.669	UniRef:UniRef50_N2J216
contig_908	cds	202122	202934	+	MDNEJI_02145	553.0	1.0e-200	1.0	0.928	1.0	UniRef:UniRef50_A0A069Q416
contig_908	cds	202936	205005	-	MDNEJI_02146	769.0	2.2e-270	1.199	1.002	0.511	UniRef:UniRef50_A0A176XNW5
contig_908	cds	205301	205834	+	MDNEJI_02147	186.0	1.0e-58	0.893	0.868	0.576	UniRef:UniRef50_A0A4Y9S937
contig_908	cds	206110	206451	+	MDNEJI_02148	-	-	-	-	-	-
contig_908	cds	206565	207332	-	MDNEJI_02149	258.0	1.8e-84	0.910	0.832	0.560	UniRef:UniRef50_A0AAV4ZN71
contig_908	cds	207329	207943	-	MDNEJI_02150	259.0	1.6e-86	0.926	0.804	0.672	UniRef:UniRef50_A0A5Q4ZPD3
contig_908	cds	207997	208620	-	MDNEJI_02151	224.0	8.3e-73	0.966	0.935	0.605	UniRef:UniRef50_H2IQL9
contig_908	cds	208650	209447	+	MDNEJI_02152	454.0	6.8e-162	1.0	1.0	1.0	UniRef:UniRef50_Q44006
contig_908	cds	209426	210817	+	MDNEJI_02153	448.0	6.6e-153	0.985	0.946	0.557	UniRef:UniRef50_A0A1G5PAQ7
contig_908	cds	210808	212124	-	MDNEJI_02154	865.0	0.0	1.0	0.871	0.998	UniRef:UniRef50_N2JCT1
contig_908	cds	212344	213432	-	MDNEJI_02155	740.0	4.1e-271	0.992	0.878	0.994	UniRef:UniRef50_A0A3M5DBS5
contig_908	cds	213453	214553	-	MDNEJI_02156	338.0	7.4e-113	1.025	1.003	0.544	UniRef:UniRef50_A0A0H2ZH56
contig_908	cds	214712	215341	+	MDNEJI_02157	269.0	6.4e-90	1.153	0.976	0.614	UniRef:UniRef50_Q9HUS3
contig_908	cds	215571	216074	+	MDNEJI_02158	259.0	6.1e-88	0.988	0.965	0.764	UniRef:UniRef50_C3K4L5
contig_908	cds	216071	216742	+	MDNEJI_02159	308.0	5.2e-105	1.018	0.844	0.784	UniRef:UniRef50_Q9HUS1
contig_908	cds	216753	217367	+	MDNEJI_02160	246.0	8.0e-82	0.971	0.975	0.571	UniRef:UniRef50_A0A174KTJ4
contig_908	cds	217397	217969	+	MDNEJI_02161	270.0	2.6e-91	0.958	0.933	0.775	UniRef:UniRef50_C6XAM5
contig_908	cds	217985	219007	-	MDNEJI_02162	523.0	1.2e-186	1.003	1.0	0.853	UniRef:UniRef50_A6VD04
contig_908	cds	219000	219536	-	MDNEJI_02163	221.0	1.4e-72	1.011	0.957	0.622	UniRef:UniRef50_A0A6S6ZPK3
contig_908	cds	219702	222671	+	MDNEJI_02164	1894.0	0.0	0.984	0.980	0.989	UniRef:UniRef50_Q9HUR6
contig_908	cds	222816	224069	-	MDNEJI_02165	646.0	7.6e-233	0.993	0.990	0.766	UniRef:UniRef50_A0A7W7P362
contig_908	cds	224177	225646	-	MDNEJI_02166	585.0	1.1e-205	0.990	0.924	0.595	UniRef:UniRef50_A0A0B5D1C4
contig_908	cds	225669	227009	-	MDNEJI_02167	829.0	1.6e-303	1.096	1.0	0.910	UniRef:UniRef50_A0A2U2Y5R8
contig_908	cds	227096	228682	-	MDNEJI_02168	737.0	2.1e-264	0.992	0.929	0.702	UniRef:UniRef50_P20906
contig_908	cds	228783	229679	+	MDNEJI_02169	332.0	1.6e-112	0.973	0.921	0.569	UniRef:UniRef50_A0A069Q1X4
contig_908	cds	229694	231028	-	MDNEJI_02170	724.0	2.1e-263	0.883	1.0	0.995	UniRef:UniRef50_A0A3D4NJR0
contig_908	cds	231407	232462	+	MDNEJI_02171	521.0	6.7e-185	0.929	0.809	0.755	UniRef:UniRef50_O05616
contig_908	cds	232477	233430	+	MDNEJI_02172	333.0	1.2e-112	1.0	1.0	0.533	UniRef:UniRef50_A0A448DWE2
contig_908	cds	233427	234140	-	MDNEJI_02173	290.0	1.6e-97	1.004	0.891	0.668	UniRef:UniRef50_A0A3M3EPG5
contig_908	cds	234204	234965	-	MDNEJI_02174	279.0	2.5e-92	0.992	0.826	0.570	UniRef:UniRef50_P39884
contig_908	cds	235324	236256	-	MDNEJI_02175	425.0	2.8e-148	1.0	0.891	0.732	UniRef:UniRef50_A0A9P1VX57
contig_908	cds	236327	237043	-	MDNEJI_02176	276.0	1.2e-91	0.992	0.803	0.640	UniRef:UniRef50_A0A5E6PAN2
contig_908	cds	237040	237912	-	MDNEJI_02177	373.0	9.7e-129	0.983	0.934	0.642	UniRef:UniRef50_A0A0U5KXE2
contig_908	cds	237909	239186	-	MDNEJI_02178	625.0	6.6e-224	0.993	0.948	0.763	UniRef:UniRef50_A0A0Q9YUC3
contig_908	cds	239197	240111	-	MDNEJI_02179	486.0	1.4e-172	1.0	0.876	0.809	UniRef:UniRef50_Q9HUQ1
contig_908	cds	240346	241470	-	MDNEJI_02180	733.0	4.3e-268	1.0	0.906	0.995	UniRef:UniRef50_Q9HUQ0
contig_908	cds	242090	243028	+	MDNEJI_02181	382.0	8.6e-132	0.939	0.945	0.631	UniRef:UniRef50_A0A0P7ZB17
contig_908	cds	243085	244710	+	MDNEJI_02182	854.0	0.0	1.017	1.0	0.942	UniRef:UniRef50_A0A7U7EP01
contig_908	cds	244757	245452	-	MDNEJI_02183	456.0	2.5e-163	1.0	0.924	1.0	UniRef:UniRef50_Q9HUP7
contig_908	cds	245467	246069	-	MDNEJI_02184	395.0	7.8e-141	1.010	0.995	0.975	UniRef:UniRef50_A0A0G4VMJ5
contig_908	cds	246179	246838	+	MDNEJI_02185	280.0	3.5e-94	0.954	0.889	0.641	UniRef:UniRef50_A0A157NZ29
contig_908	cds	246841	248040	+	MDNEJI_02186	614.0	2.4e-220	1.073	0.998	0.713	UniRef:UniRef50_Q88DF7
contig_908	cds	248069	248896	+	MDNEJI_02187	278.0	7.3e-92	0.916	0.837	0.635	UniRef:UniRef50_A0A423DU28
contig_908	cds	249030	249953	+	MDNEJI_02188	297.0	1.2e-98	0.879	0.868	0.552	UniRef:UniRef50_Q9HUP2
contig_908	cds	250022	250468	-	MDNEJI_02189	211.0	2.9e-69	1.0	0.822	0.696	UniRef:UniRef50_P12334
contig_908	cds	250744	251331	+	MDNEJI_02190	233.0	2.0e-76	0.959	0.854	0.636	UniRef:UniRef50_A0A0L6CJ65
contig_908	cds	251344	252039	-	MDNEJI_02191	270.0	5.3e-90	1.030	1.004	0.664	UniRef:UniRef50_Q9HUP0
contig_908	cds	252226	253077	-	MDNEJI_02192	299.0	1.1e-99	0.947	0.843	0.604	UniRef:UniRef50_A0A5E7I3W7
contig_908	cds	253328	254263	-	MDNEJI_02193	352.0	2.7e-119	0.997	0.871	0.590	UniRef:UniRef50_A0A2R5ED12
contig_908	cds	254263	256761	-	MDNEJI_02194	848.0	5.2e-298	1.079	0.997	0.541	UniRef:UniRef50_A0A9W6K3N8
contig_908	cds	257023	259266	-	MDNEJI_02195	1347.0	0.0	1.027	0.916	0.853	UniRef:UniRef50_Q87VK8
contig_908	cds	259479	261359	+	MDNEJI_02196	1163.0	0.0	0.986	0.907	0.964	UniRef:UniRef50_A0A2A2E569
contig_908	cds	261853	263067	+	MDNEJI_02197	-	-	-	-	-	-
contig_908	cds	263091	264182	-	MDNEJI_02198	526.0	1.2e-186	0.986	0.909	0.749	UniRef:UniRef50_Q9HUN4
contig_908	cds	264251	265645	-	MDNEJI_02199	801.0	6.9e-292	1.0	0.924	0.858	UniRef:UniRef50_A0A1C9W666
contig_908	cds	265774	266220	-	MDNEJI_02200	156.0	1.9e-47	1.0	0.846	0.554	UniRef:UniRef50_A6W0Y6
contig_908	cds	266242	267111	-	MDNEJI_02201	284.0	3.7e-93	1.031	0.839	0.560	UniRef:UniRef50_A0A3M3Y7K5
contig_908	cds	267148	267378	-	MDNEJI_02202	87.8	7.8e-23	0.882	0.848	0.582	UniRef:UniRef50_A1U392
contig_908	cds	267408	267827	-	MDNEJI_02203	-	-	-	-	-	-
contig_908	cds	268042	268788	-	MDNEJI_02204	264.0	6.0e-87	1.077	0.982	0.558	UniRef:UniRef50_Q8ZIV4
contig_908	cds	268785	271502	-	MDNEJI_02205	1297.0	0.0	0.927	0.869	0.800	UniRef:UniRef50_C3KE65
contig_908	tRNA	271707	271793	+	MDNEJI_02206	72.7	-	-	-	-	-
contig_908	tRNA	271923	272009	+	MDNEJI_02207	72.7	-	-	-	-	-
contig_908	cds	272166	273458	-	MDNEJI_02208	619.0	8.0e-221	1.0	0.876	0.700	UniRef:UniRef50_Q8ZIV7
contig_908	cds	273510	274694	-	MDNEJI_02209	632.0	8.2e-227	1.003	0.844	0.815	UniRef:UniRef50_Q3J807
contig_908	cds	274729	274962	-	MDNEJI_02210	123.0	5.0e-37	0.987	1.0	0.763	UniRef:UniRef50_A0A653WD18
contig_908	cds	275010	275879	-	MDNEJI_02211	285.0	3.4e-94	1.045	1.0	0.642	UniRef:UniRef50_A0A109LFB6
contig_908	cds	275879	277078	-	MDNEJI_02212	348.0	3.4e-115	0.980	0.865	0.560	UniRef:UniRef50_I3I5P6
contig_908	cds	277173	278432	-	MDNEJI_02213	478.0	1.5e-165	1.0	0.907	0.587	UniRef:UniRef50_A0A3B9DF18
contig_908	cds	278487	278735	-	MDNEJI_02214	106.0	5.5e-30	0.951	0.812	0.641	UniRef:UniRef50_A1K3Z4
contig_908	cds	278841	279812	-	MDNEJI_02215	361.0	6.5e-123	0.960	0.876	0.635	UniRef:UniRef50_B2T068
contig_908	cds	279870	281771	-	MDNEJI_02216	982.0	0.0	1.030	1.016	0.799	UniRef:UniRef50_C1DLQ0
contig_908	cds	281771	283198	-	MDNEJI_02217	546.0	6.9e-191	1.034	0.957	0.621	UniRef:UniRef50_C3KDW0
contig_908	cds	283207	283674	-	MDNEJI_02218	229.0	6.2e-76	0.961	0.810	0.779	UniRef:UniRef50_A0A2R3QL12
contig_908	cds	283662	285170	-	MDNEJI_02219	604.0	4.7e-213	0.986	0.929	0.677	UniRef:UniRef50_A0A031FY83
contig_908	cds	285252	286337	+	MDNEJI_02220	496.0	1.6e-174	0.972	0.848	0.650	UniRef:UniRef50_Q9HUL4
contig_908	cds	286371	286913	-	MDNEJI_02221	220.0	4.4e-72	0.994	0.947	0.587	UniRef:UniRef50_Q5E2C2
contig_908	cds	287025	288044	+	MDNEJI_02222	385.0	9.5e-132	1.0	0.904	0.608	UniRef:UniRef50_Q88DC4
contig_908	cds	288048	289091	-	MDNEJI_02223	434.0	2.0e-150	1.026	0.899	0.660	UniRef:UniRef50_Q9HUL2
contig_908	cds	289111	289962	-	MDNEJI_02224	410.0	4.7e-144	0.996	0.986	0.699	UniRef:UniRef50_Q9HUL1
contig_908	cds	290103	291614	+	MDNEJI_02225	585.0	7.3e-206	0.998	0.973	0.612	UniRef:UniRef50_Q9HUL0
contig_908	cds	291689	292504	+	MDNEJI_02226	439.0	2.7e-155	0.985	0.918	0.775	UniRef:UniRef50_Q9HUK9
contig_908	cds	292508	293377	+	MDNEJI_02227	365.0	3.0e-125	0.979	0.816	0.618	UniRef:UniRef50_Q9HUK8
contig_908	cds	293696	295519	+	MDNEJI_02228	687.0	1.7e-242	1.015	0.964	0.567	UniRef:UniRef50_Q9HUK7
contig_908	cds	295584	297659	+	MDNEJI_02229	806.0	1.0e-286	0.996	0.964	0.597	UniRef:UniRef50_I4CNU9
contig_908	cds	297746	298960	-	MDNEJI_02230	607.0	5.0e-217	0.995	0.912	0.781	UniRef:UniRef50_M1WMI8
contig_908	cds	299181	300719	+	MDNEJI_02231	582.0	3.8e-203	1.008	0.881	0.672	UniRef:UniRef50_Q9HUK4
contig_908	cds	300716	301252	+	MDNEJI_02232	229.0	1.6e-75	1.0	0.913	0.669	UniRef:UniRef50_Q9HUK3
contig_908	cds	301310	302020	-	MDNEJI_02233	333.0	6.0e-115	1.034	1.012	0.746	UniRef:UniRef50_A0A1H0N3C6
contig_908	cds	302313	304577	-	MDNEJI_02234	1440.0	0.0	1.0	0.807	0.997	UniRef:UniRef50_P0AFI2
contig_908	cds	304585	305070	-	MDNEJI_02235	228.0	1.9e-75	0.994	0.847	0.725	UniRef:UniRef50_Q87VH5
contig_908	cds	305106	306119	-	MDNEJI_02236	400.0	1.0e-137	0.926	0.860	0.612	UniRef:UniRef50_A0A839T1U8
contig_908	cds	306119	308008	-	MDNEJI_02237	897.0	0.0	0.995	0.865	0.693	UniRef:UniRef50_Q5GYJ8
contig_908	cds	308020	308706	-	MDNEJI_02238	315.0	6.0e-108	0.890	0.812	0.773	UniRef:UniRef50_A0A383S1H4
contig_908	cds	308773	309591	-	MDNEJI_02239	361.0	4.5e-124	0.982	0.829	0.640	UniRef:UniRef50_D4P095
contig_908	cds	309746	310204	-	MDNEJI_02240	199.0	3.8e-64	1.112	0.929	0.633	UniRef:UniRef50_Q9HUJ5
contig_908	cds	310195	310812	-	MDNEJI_02241	322.0	1.1e-111	0.995	0.976	0.745	UniRef:UniRef50_Q88DA8
contig_908	cds	311055	311801	+	MDNEJI_02242	322.0	1.2e-109	1.0	0.864	0.617	UniRef:UniRef50_Q9HUJ3
contig_908	cds	311860	313743	-	MDNEJI_02243	946.0	0.0	0.998	0.960	0.730	UniRef:UniRef50_Q6G477
contig_908	cds	314199	315647	+	MDNEJI_02244	480.0	1.1e-164	0.932	0.854	0.572	UniRef:UniRef50_A0A0M9GG13
contig_908	cds	315713	316417	-	MDNEJI_02245	309.0	3.0e-105	1.0	0.897	0.637	UniRef:UniRef50_B1TBQ9
contig_908	cds	316468	317649	-	MDNEJI_02246	563.0	1.1e-199	0.992	0.841	0.721	UniRef:UniRef50_Q9HUI9
contig_908	cds	317672	319282	-	MDNEJI_02247	1028.0	0.0	1.0	0.931	0.991	UniRef:UniRef50_Q9HUI8
contig_908	cds	319394	321484	-	MDNEJI_02248	725.0	6.1e-254	0.993	0.907	0.557	UniRef:UniRef50_Q9HUI7
contig_908	cds	321551	322711	-	MDNEJI_02249	431.0	1.4e-147	0.995	0.808	0.570	UniRef:UniRef50_A0A0P1EPT4
contig_908	cds	322732	323523	-	MDNEJI_02250	497.0	6.7e-179	1.0	0.970	0.996	UniRef:UniRef50_A0A072ZJK0
contig_908	cds	323782	325194	-	MDNEJI_02251	522.0	2.4e-181	0.970	0.880	0.550	UniRef:UniRef50_P39137
contig_908	cds	325378	327630	-	MDNEJI_02252	1323.0	0.0	0.953	0.920	0.976	UniRef:UniRef50_A0A5E5R0I8
contig_908	cds	327627	328403	-	MDNEJI_02253	345.0	1.6e-118	0.950	0.809	0.678	UniRef:UniRef50_A6VDA0
contig_908	cds	328407	329141	-	MDNEJI_02254	303.0	8.5e-103	1.004	1.017	0.657	UniRef:UniRef50_A0A0N0VK28
